Station1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Station2,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Station4,Var18,x30_10_2022,Var20,Var21,Var22,Var23,Var24,Station8,Var26,Var27,Var28,Var29,Var30,Var31
11,1.1,0.7112,NaN,NaN,0,0,NaN,11,1.1,-0.5588,NaN,NaN,0,0,NaN,11,1.1,-0.5588,NaN,NaN,0,0,NaN,11,1.1,-0.5588,NaN,NaN,0,0
12,1.2,0.6604,NaN,NaN,0,0,NaN,12,1.2,-0.6096,NaN,NaN,0,0,NaN,12,1.2,-0.6096,NaN,NaN,0,0,NaN,12,1.2,-0.6096,NaN,NaN,0,0
13,1.3,0.6096,NaN,NaN,0,0,NaN,13,1.3,-0.6604,NaN,NaN,0,0,NaN,13,1.3,-0.6604,NaN,NaN,0,0,NaN,13,1.3,-0.6604,NaN,NaN,0,0
14,1.4,0.5588,NaN,NaN,0,0,NaN,14,1.4,-0.7112,NaN,NaN,0,0,NaN,14,1.4,-0.7112,NaN,NaN,0,0,NaN,14,1.4,-0.7112,NaN,NaN,0,0
15,1.5,0.508,149.75,154.21875,4.46875,0.9965217286,NaN,15,1.5,-0.762,NaN,NaN,0,0,NaN,15,1.5,-0.762,149.75,154.25,4.5,1,NaN,15,1.5,-0.762,149.6875,154.25,4.5625,1
16,1.6,0.4572,NaN,NaN,0,0,NaN,16,1.6,-0.8128,NaN,NaN,0,0,NaN,16,1.6,-0.8128,NaN,NaN,0,0,NaN,16,1.6,-0.8128,NaN,NaN,0,0
17,1.7,0.4064,NaN,NaN,0,0,NaN,17,1.7,-0.8636,NaN,NaN,0,0,NaN,17,1.7,-0.8636,NaN,NaN,0,0,NaN,17,1.7,-0.8636,NaN,NaN,0,0
18,1.8,0.3556,NaN,NaN,0,0,NaN,18,1.8,-0.9144,NaN,NaN,0,0,NaN,18,1.8,-0.9144,NaN,NaN,0,0,NaN,18,1.8,-0.9144,NaN,NaN,0,0
19,1.9,0.3048,NaN,NaN,0,0,NaN,19,1.9,-0.9652,NaN,NaN,0,0,NaN,19,1.9,-0.9652,NaN,NaN,0,0,NaN,19,1.9,-0.9652,NaN,NaN,0,0
20,2,0.254,149.75,154.21875,4.46875,0.9965217286,NaN,20,2,-1.016,NaN,NaN,0,0,NaN,20,2,-1.016,149.75,154.25,4.5,1,NaN,20,2,-1.016,149.6875,154.25,4.5625,1
21,2.1,0.2032,NaN,NaN,0,0,NaN,21,2.1,-1.0668,NaN,NaN,0,0,NaN,21,2.1,-1.0668,NaN,NaN,0,0,NaN,21,2.1,-1.0668,NaN,NaN,0,0
22,2.2,0.1524,NaN,NaN,0,0,NaN,22,2.2,-1.1176,NaN,NaN,0,0,NaN,22,2.2,-1.1176,NaN,NaN,0,0,NaN,22,2.2,-1.1176,NaN,NaN,0,0
23,2.3,0.1016,NaN,NaN,0,0,NaN,23,2.3,-1.1684,NaN,NaN,0,0,NaN,23,2.3,-1.1684,NaN,NaN,0,0,NaN,23,2.3,-1.1684,NaN,NaN,0,0
