Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116
3.5,10.5,1.47,NaN,NaN,0,NaN,NaN,NaN,3.5,10.5,1.56,NaN,NaN,0,NaN,NaN,NaN,3.5,10.5,1.47,NaN,NaN,0,NaN,NaN,NaN,3.5,10.5,1.5,NaN,NaN,0,NaN,NaN,NaN,3.5,10.5,1.5,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.47,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.5,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.53,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.53,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.53,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.47,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.47,"",NaN,NaN,NaN,NaN,NaN,3.5,10.5,1.5,"",NaN,NaN,NaN,NaN
4,12,1.44,150.78125,155.21875,4.4375,0.993031274,0,NaN,4,12,1.53,150.8125,155.1875,4.375,0.9894548898,0,NaN,4,12,1.44,150.78125,155.1875,4.40625,0.9895285073,0,NaN,4,12,1.47,150.78125,155.1875,4.40625,1,0,NaN,4,12,1.47,"",25,4.375,1,0,NaN,4,12,1.44,"",NaN,NaN,NaN,NaN,NaN,4,12,1.47,"",NaN,NaN,NaN,NaN,NaN,4,12,1.5,"",NaN,NaN,NaN,NaN,NaN,4,12,1.5,"",NaN,NaN,NaN,NaN,NaN,4,12,1.5,"",24,4.375,1,0,NaN,4,12,1.44,"",NaN,NaN,NaN,NaN,NaN,4,12,1.44,"",NaN,NaN,NaN,NaN,NaN,4,12,1.47,"",25,4.375,1,0
4.5,13.5,1.41,NaN,NaN,0,NaN,NaN,NaN,4.5,13.5,1.5,NaN,NaN,0,NaN,NaN,NaN,4.5,13.5,1.41,NaN,NaN,0,NaN,NaN,NaN,4.5,13.5,1.44,NaN,NaN,0,NaN,NaN,NaN,4.5,13.5,1.44,"",NaN,NaN,NaN,NaN,NaN,4.5,13.5,1.41,"",NaN,NaN,NaN,NaN,NaN,4.5,13.5,1.44,"",NaN,NaN,NaN,NaN,NaN,4.5,13.5,1.47,"",NaN,NaN,NaN,NaN,NaN,4.5,13.5,1.47,"",NaN,NaN,NaN,NaN,NaN,4.5,13.5,1.47,"",NaN,NaN,NaN,NaN,NaN,4.5,13.5,1.41,"",25,4.3125,1,0,NaN,4.5,13.5,1.41,"",NaN,NaN,NaN,NaN,NaN,4.5,13.5,1.44,"",NaN,NaN,NaN,NaN
5,15,1.38,NaN,NaN,0,NaN,NaN,NaN,5,15,1.47,NaN,NaN,0,NaN,NaN,NaN,5,15,1.38,150.78125,155.1875,4.40625,0.9895285073,0,NaN,5,15,1.41,150.78125,155.1875,4.40625,1,0,NaN,5,15,1.41,"",25,4.375,1,0,NaN,5,15,1.38,"",25,4.3125,0.9928314488,0,NaN,5,15,1.41,"",25,4.375,1,0,NaN,5,15,1.44,"",24,4.375,0.9929327736,0,NaN,5,15,1.44,"",24,4.375,0.9929327736,0,NaN,5,15,1.44,"",NaN,NaN,NaN,NaN,NaN,5,15,1.38,"",NaN,NaN,NaN,NaN,NaN,5,15,1.38,"",25,4.3125,0.9928314488,0,NaN,5,15,1.41,"",25,4.375,1,0
5.5,16.5,1.35,NaN,NaN,0,NaN,NaN,NaN,5.5,16.5,1.44,NaN,NaN,0,NaN,NaN,NaN,5.5,16.5,1.35,NaN,NaN,0,NaN,NaN,NaN,5.5,16.5,1.38,NaN,NaN,0,NaN,NaN,NaN,5.5,16.5,1.38,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.35,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.38,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.41,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.41,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.41,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.35,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.35,"",NaN,NaN,NaN,NaN,NaN,5.5,16.5,1.38,"",NaN,NaN,NaN,NaN
6,18,1.32,150.78125,155.1875,4.40625,0.9895285073,0,NaN,6,18,1.41,150.8125,155.1875,4.375,0.9894548898,0,NaN,6,18,1.32,150.78125,155.1875,4.40625,0.9895285073,0,NaN,6,18,1.35,150.78125,155.1875,4.40625,1,0,NaN,6,18,1.35,"",25,4.375,1,0,NaN,6,18,1.32,"",25,4.3125,0.9928314488,0,NaN,6,18,1.35,"",25,4.375,1,0,NaN,6,18,1.38,"",NaN,NaN,NaN,NaN,NaN,6,18,1.38,"",NaN,NaN,NaN,NaN,NaN,6,18,1.38,"",24,4.375,1,0,NaN,6,18,1.32,"",NaN,NaN,NaN,NaN,NaN,6,18,1.32,"",25,4.3125,0.9928314488,0,NaN,6,18,1.35,"",25,4.375,1,0
6.5,19.5,1.29,NaN,NaN,0,NaN,NaN,NaN,6.5,19.5,1.38,NaN,NaN,0,NaN,NaN,NaN,6.5,19.5,1.29,NaN,NaN,0,NaN,NaN,NaN,6.5,19.5,1.32,NaN,NaN,0,NaN,NaN,NaN,6.5,19.5,1.32,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.29,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.32,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.35,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.35,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.35,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.29,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.29,"",NaN,NaN,NaN,NaN,NaN,6.5,19.5,1.32,"",NaN,NaN,NaN,NaN
7,21,1.26,NaN,NaN,0,NaN,NaN,NaN,7,21,1.35,NaN,NaN,0,NaN,NaN,NaN,7,21,1.26,150.78125,155.1875,4.40625,0.9895285073,0,NaN,7,21,1.29,150.78125,155.1875,4.40625,1,0,NaN,7,21,1.29,"",25,4.375,1,0,NaN,7,21,1.26,"",25,4.3125,0.9928314488,0,NaN,7,21,1.29,"",25,4.375,1,0,NaN,7,21,1.32,"",24,4.375,0.9929327736,0,NaN,7,21,1.32,"",24,4.375,0.9929327736,0,NaN,7,21,1.32,"",NaN,NaN,NaN,NaN,NaN,7,21,1.26,"",25,4.3125,1,0,NaN,7,21,1.26,"",25,4.3125,0.9928314488,0,NaN,7,21,1.29,"",25,4.375,1,0
7.5,22.5,1.23,NaN,NaN,0,NaN,NaN,NaN,7.5,22.5,1.32,NaN,NaN,0,NaN,NaN,NaN,7.5,22.5,1.23,NaN,NaN,0,NaN,NaN,NaN,7.5,22.5,1.26,NaN,NaN,0,NaN,NaN,NaN,7.5,22.5,1.26,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.23,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.26,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.29,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.29,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.29,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.23,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.23,"",NaN,NaN,NaN,NaN,NaN,7.5,22.5,1.26,"",NaN,NaN,NaN,NaN
8,24,1.2,150.78125,155.1875,4.40625,0.9895285073,0,NaN,8,24,1.29,150.8125,155.1875,4.375,0.9894548898,0,NaN,8,24,1.2,150.78125,155.1875,4.40625,0.9895285073,0,NaN,8,24,1.23,150.78125,155.1875,4.40625,1,0,NaN,8,24,1.23,"",26,4.3125,0.9928314488,0,NaN,8,24,1.2,"",25,4.3125,0.9928314488,0,NaN,8,24,1.23,"",25,4.375,1,0,NaN,8,24,1.26,"",NaN,NaN,NaN,NaN,NaN,8,24,1.26,"",NaN,NaN,NaN,NaN,NaN,8,24,1.26,"",24,4.375,1,0,NaN,8,24,1.2,"",NaN,NaN,NaN,NaN,NaN,8,24,1.2,"",25,4.3125,0.9928314488,0,NaN,8,24,1.23,"",26,4.3125,0.9928314488,0
8.5,25.5,1.17,NaN,NaN,0,NaN,NaN,NaN,8.5,25.5,1.26,NaN,NaN,0,NaN,NaN,NaN,8.5,25.5,1.17,NaN,NaN,0,NaN,NaN,NaN,8.5,25.5,1.2,NaN,NaN,0,NaN,NaN,NaN,8.5,25.5,1.2,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.17,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.2,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.23,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.23,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.23,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.17,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.17,"",NaN,NaN,NaN,NaN,NaN,8.5,25.5,1.2,"",NaN,NaN,NaN,NaN
9,27,1.14,NaN,NaN,0,NaN,NaN,NaN,9,27,1.23,NaN,NaN,0,NaN,NaN,NaN,9,27,1.14,150.78125,155.1875,4.40625,0.9895285073,0,NaN,9,27,1.17,150.78125,155.1875,4.40625,1,0,NaN,9,27,1.17,"",26,4.3125,0.9928314488,0,NaN,9,27,1.14,"",25,4.3125,0.9928314488,0,NaN,9,27,1.17,"",25,4.375,1,0,NaN,9,27,1.2,"",24,4.375,0.9929327736,0,NaN,9,27,1.2,"",24,4.375,0.9929327736,0,NaN,9,27,1.2,"",NaN,NaN,NaN,NaN,NaN,9,27,1.14,"",25,4.3125,1,0,NaN,9,27,1.14,"",25,4.3125,0.9928314488,0,NaN,9,27,1.17,"",26,4.3125,0.9928314488,0
9.5,28.5,1.11,NaN,NaN,0,NaN,NaN,NaN,9.5,28.5,1.2,NaN,NaN,0,NaN,NaN,NaN,9.5,28.5,1.11,NaN,NaN,0,NaN,NaN,NaN,9.5,28.5,1.14,NaN,NaN,0,NaN,NaN,NaN,9.5,28.5,1.14,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.11,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.14,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.17,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.17,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.17,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.11,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.11,"",NaN,NaN,NaN,NaN,NaN,9.5,28.5,1.14,"",NaN,NaN,NaN,NaN
10,30,1.08,150.78125,155.1875,4.40625,0.9895285073,0,NaN,10,30,1.17,150.8125,155.1875,4.375,0.9894548898,0,NaN,10,30,1.08,150.78125,155.1875,4.40625,0.9895285073,0,NaN,10,30,1.11,150.78125,155.1875,4.40625,1,0,NaN,10,30,1.11,"",26,4.3125,0.9928314488,0,NaN,10,30,1.08,"",25,4.3125,0.9928314488,0,NaN,10,30,1.11,"",26,4.3125,0.9928314488,0,NaN,10,30,1.14,"",NaN,NaN,NaN,NaN,NaN,10,30,1.14,"",24,4.375,0.9929327736,0,NaN,10,30,1.14,"",24,4.375,1,0,NaN,10,30,1.08,"",25,4.3125,1,0,NaN,10,30,1.08,"",25,4.3125,0.9928314488,0,NaN,10,30,1.11,"",26,4.3125,0.9928314488,0
10.5,31.5,1.05,NaN,NaN,0,NaN,NaN,NaN,10.5,31.5,1.14,NaN,NaN,0,NaN,NaN,NaN,10.5,31.5,1.05,150.78125,155.1875,4.40625,0.9895285073,0,NaN,10.5,31.5,1.08,150.78125,155.15625,4.375,0.9964475909,0,NaN,10.5,31.5,1.08,"",NaN,NaN,NaN,NaN,NaN,10.5,31.5,1.05,"",25,4.3125,0.9928314488,0,NaN,10.5,31.5,1.08,"",NaN,NaN,NaN,NaN,NaN,10.5,31.5,1.11,"",NaN,NaN,NaN,NaN,NaN,10.5,31.5,1.11,"",NaN,NaN,NaN,NaN,NaN,10.5,31.5,1.11,"",NaN,NaN,NaN,NaN,NaN,10.5,31.5,1.05,"",NaN,NaN,NaN,NaN,NaN,10.5,31.5,1.05,"",25,4.3125,0.9928314488,0,NaN,10.5,31.5,1.08,"",NaN,NaN,NaN,NaN
11,33,1.02,150.78125,155.1875,4.40625,0.9895285073,0,NaN,11,33,1.11,NaN,NaN,0,NaN,NaN,NaN,11,33,1.02,150.78125,155.1875,4.40625,0.9895285073,0,NaN,11,33,1.05,150.78125,155.15625,4.375,0.9964475909,0,NaN,11,33,1.05,"",26,4.3125,0.9928314488,0,NaN,11,33,1.02,"",26,4.25,0.9856107606,0,NaN,11,33,1.05,"",26,4.3125,0.9928314488,0,NaN,11,33,1.08,"",24,4.375,0.9929327736,0,NaN,11,33,1.08,"",24,4.375,0.9929327736,0,NaN,11,33,1.08,"",24,4.375,1,0,NaN,11,33,1.02,"",26,4.25,0.9927271762,0,NaN,11,33,1.02,"",26,4.25,0.9856107606,0,NaN,11,33,1.05,"",26,4.3125,0.9928314488,0
11.5,34.5,0.99,NaN,NaN,0,NaN,NaN,NaN,11.5,34.5,1.08,NaN,NaN,0,NaN,NaN,NaN,11.5,34.5,0.99,150.78125,155.1875,4.40625,0.9895285073,0,NaN,11.5,34.5,1.02,150.78125,155.15625,4.375,0.9964475909,0,NaN,11.5,34.5,1.02,"",NaN,NaN,NaN,NaN,NaN,11.5,34.5,0.99,"",26,4.25,0.9856107606,0,NaN,11.5,34.5,1.02,"",NaN,NaN,NaN,NaN,NaN,11.5,34.5,1.05,"",NaN,NaN,NaN,NaN,NaN,11.5,34.5,1.05,"",NaN,NaN,NaN,NaN,NaN,11.5,34.5,1.05,"",NaN,NaN,NaN,NaN,NaN,11.5,34.5,0.99,"",NaN,NaN,NaN,NaN,NaN,11.5,34.5,0.99,"",26,4.25,0.9856107606,0,NaN,11.5,34.5,1.02,"",NaN,NaN,NaN,NaN
12,36,0.96,150.78125,155.1875,4.40625,0.9895285073,0,NaN,12,36,1.05,150.8125,155.1875,4.375,0.9894548898,0,NaN,12,36,0.96,150.78125,155.1875,4.40625,0.9895285073,0,NaN,12,36,0.99,150.8125,155.15625,4.34375,0.9928824718,0,NaN,12,36,0.99,"",26,4.3125,0.9928314488,0,NaN,12,36,0.96,"",26,4.25,0.9856107606,0,NaN,12,36,0.99,"",26,4.3125,0.9928314488,0,NaN,12,36,1.02,"",25,4.3125,0.9858148842,0,NaN,12,36,1.02,"",24,4.375,0.9929327736,0,NaN,12,36,1.02,"",24,4.375,1,0,NaN,12,36,0.96,"",26,4.25,0.9927271762,0,NaN,12,36,0.96,"",26,4.25,0.9856107606,0,NaN,12,36,0.99,"",26,4.3125,0.9928314488,0
12.5,37.5,0.93,NaN,NaN,0,NaN,NaN,NaN,12.5,37.5,1.02,NaN,NaN,0,NaN,NaN,NaN,12.5,37.5,0.93,150.78125,155.1875,4.40625,0.9895285073,0,NaN,12.5,37.5,0.96,150.8125,155.15625,4.34375,0.9928824718,0,NaN,12.5,37.5,0.96,"",NaN,NaN,NaN,NaN,NaN,12.5,37.5,0.93,"",26,4.25,0.9856107606,0,NaN,12.5,37.5,0.96,"",NaN,NaN,NaN,NaN,NaN,12.5,37.5,0.99,"",NaN,NaN,NaN,NaN,NaN,12.5,37.5,0.99,"",NaN,NaN,NaN,NaN,NaN,12.5,37.5,0.99,"",24,4.375,1,0,NaN,12.5,37.5,0.93,"",NaN,NaN,NaN,NaN,NaN,12.5,37.5,0.93,"",26,4.25,0.9856107606,0,NaN,12.5,37.5,0.96,"",NaN,NaN,NaN,NaN
13,39,0.9,150.78125,155.1875,4.40625,0.9895285073,0,NaN,13,39,0.99,150.8125,155.1875,4.375,0.9894548898,0,NaN,13,39,0.9,150.78125,155.1875,4.40625,0.9895285073,0,NaN,13,39,0.93,150.8125,155.15625,4.34375,0.9928824718,0,NaN,13,39,0.93,"",26,4.3125,0.9928314488,0,NaN,13,39,0.9,"",26,4.25,0.9856107606,0,NaN,13,39,0.93,"",26,4.3125,0.9928314488,0,NaN,13,39,0.96,"",25,4.3125,0.9858148842,0,NaN,13,39,0.96,"",24,4.375,0.9929327736,0,NaN,13,39,0.96,"",25,4.3125,0.9928314488,0,NaN,13,39,0.9,"",26,4.25,0.9927271762,0,NaN,13,39,0.9,"",26,4.25,0.9856107606,0,NaN,13,39,0.93,"",26,4.3125,0.9928314488,0
13.5,40.5,0.87,150.78125,155.1875,4.40625,0.9895285073,0,NaN,13.5,40.5,0.96,NaN,NaN,0,NaN,NaN,NaN,13.5,40.5,0.87,150.78125,155.1875,4.40625,0.9895285073,0,NaN,13.5,40.5,0.9,150.8125,155.15625,4.34375,0.9928824718,0,NaN,13.5,40.5,0.9,"",NaN,NaN,NaN,NaN,NaN,13.5,40.5,0.87,"",26,4.25,0.9856107606,0,NaN,13.5,40.5,0.9,"",NaN,NaN,NaN,NaN,NaN,13.5,40.5,0.93,"",NaN,NaN,NaN,NaN,NaN,13.5,40.5,0.93,"",24,4.375,0.9929327736,0,NaN,13.5,40.5,0.93,"",25,4.3125,0.9928314488,0,NaN,13.5,40.5,0.87,"",26,4.25,0.9927271762,0,NaN,13.5,40.5,0.87,"",26,4.25,0.9856107606,0,NaN,13.5,40.5,0.9,"",NaN,NaN,NaN,NaN
14,42,0.84,150.78125,155.1875,4.40625,0.9895285073,0,NaN,14,42,0.93,150.8125,155.1875,4.375,0.9894548898,0,NaN,14,42,0.84,150.78125,155.1875,4.40625,0.9895285073,0,NaN,14,42,0.87,150.8125,155.15625,4.34375,0.9928824718,0,NaN,14,42,0.87,"",26,4.3125,0.9928314488,0,NaN,14,42,0.84,"",26,4.25,0.9856107606,0,NaN,14,42,0.87,"",26,4.3125,0.9928314488,0,NaN,14,42,0.9,"",25,4.3125,0.9858148842,0,NaN,14,42,0.9,"",24,4.375,0.9929327736,0,NaN,14,42,0.9,"",25,4.3125,0.9928314488,0,NaN,14,42,0.84,"",26,4.25,0.9927271762,0,NaN,14,42,0.84,"",26,4.25,0.9856107606,0,NaN,14,42,0.87,"",26,4.3125,0.9928314488,0
14.5,43.5,0.81,150.78125,155.1875,4.40625,0.9895285073,0,NaN,14.5,43.5,0.9,NaN,NaN,0,NaN,NaN,NaN,14.5,43.5,0.81,150.78125,155.1875,4.40625,0.9895285073,0,NaN,14.5,43.5,0.84,150.8125,155.15625,4.34375,0.9928824718,0,NaN,14.5,43.5,0.84,"",NaN,NaN,NaN,NaN,NaN,14.5,43.5,0.81,"",26,4.25,0.9856107606,0,NaN,14.5,43.5,0.84,"",26,4.3125,0.9928314488,0,NaN,14.5,43.5,0.87,"",NaN,NaN,NaN,NaN,NaN,14.5,43.5,0.87,"",24,4.375,0.9929327736,0,NaN,14.5,43.5,0.87,"",25,4.3125,0.9928314488,0,NaN,14.5,43.5,0.81,"",26,4.25,0.9927271762,0,NaN,14.5,43.5,0.81,"",26,4.25,0.9856107606,0,NaN,14.5,43.5,0.84,"",NaN,NaN,NaN,NaN
15,45,0.78,150.78125,155.1875,4.40625,0.9895285073,0,NaN,15,45,0.87,150.8125,155.1875,4.375,0.9894548898,0,NaN,15,45,0.78,150.78125,155.1875,4.40625,0.9895285073,0,NaN,15,45,0.81,150.8125,155.15625,4.34375,0.9928824718,0,NaN,15,45,0.81,"",26,4.3125,0.9928314488,0,NaN,15,45,0.78,"",26,4.25,0.9856107606,0,NaN,15,45,0.81,"",26,4.3125,0.9928314488,0,NaN,15,45,0.84,"",25,4.3125,0.9858148842,0,NaN,15,45,0.84,"",24,4.375,0.9929327736,0,NaN,15,45,0.84,"",25,4.3125,0.9928314488,0,NaN,15,45,0.78,"",26,4.25,0.9927271762,0,NaN,15,45,0.78,"",26,4.25,0.9856107606,0,NaN,15,45,0.81,"",26,4.3125,0.9928314488,0
15.5,46.5,0.75,150.78125,155.1875,4.40625,0.9895285073,0,NaN,15.5,46.5,0.84,NaN,NaN,0,NaN,NaN,NaN,15.5,46.5,0.75,150.78125,155.1875,4.40625,0.9895285073,0,NaN,15.5,46.5,0.78,150.8125,155.15625,4.34375,0.9928824718,0,NaN,15.5,46.5,0.78,"",26,4.3125,0.9928314488,0,NaN,15.5,46.5,0.75,"",26,4.25,0.9856107606,0,NaN,15.5,46.5,0.78,"",26,4.3125,0.9928314488,0,NaN,15.5,46.5,0.81,"",25,4.3125,0.9858148842,0,NaN,15.5,46.5,0.81,"",25,4.3125,0.9858148842,0,NaN,15.5,46.5,0.81,"",25,4.3125,0.9928314488,0,NaN,15.5,46.5,0.75,"",27,4.1875,0.9854006762,0,NaN,15.5,46.5,0.75,"",26,4.25,0.9856107606,0,NaN,15.5,46.5,0.78,"",26,4.3125,0.9928314488,0
16,48,0.72,150.78125,155.1875,4.40625,0.9895285073,0,NaN,16,48,0.81,150.8125,155.1875,4.375,0.9894548898,0,NaN,16,48,0.72,150.78125,155.1875,4.40625,0.9895285073,0,NaN,16,48,0.75,150.8125,155.15625,4.34375,0.9928824718,0,NaN,16,48,0.75,"",26,4.3125,0.9928314488,0,NaN,16,48,0.72,"",26,4.25,0.9856107606,0,NaN,16,48,0.75,"",26,4.3125,0.9928314488,0,NaN,16,48,0.78,"",25,4.3125,0.9858148842,0,NaN,16,48,0.78,"",25,4.3125,0.9858148842,0,NaN,16,48,0.78,"",25,4.3125,0.9928314488,0,NaN,16,48,0.72,"",28,4.125,0.9780192938,0.003315605352,NaN,16,48,0.72,"",26,4.25,0.9856107606,0,NaN,16,48,0.75,"",26,4.3125,0.9928314488,0
16.5,49.5,0.69,150.78125,155.1875,4.40625,0.9895285073,0,NaN,16.5,49.5,0.78,150.8125,155.1875,4.375,0.9894548898,0,NaN,16.5,49.5,0.69,150.78125,155.15625,4.375,0.9860132972,0,NaN,16.5,49.5,0.72,150.8125,155.15625,4.34375,0.9928824718,0,NaN,16.5,49.5,0.72,"",26,4.3125,0.9928314488,0,NaN,16.5,49.5,0.69,"",26,4.25,0.9856107606,0,NaN,16.5,49.5,0.72,"",26,4.3125,0.9928314488,0,NaN,16.5,49.5,0.75,"",25,4.3125,0.9858148842,0,NaN,16.5,49.5,0.75,"",25,4.3125,0.9858148842,0,NaN,16.5,49.5,0.75,"",25,4.3125,0.9928314488,0,NaN,16.5,49.5,0.69,"",29,4.0625,0.9705817768,0.004068188184,NaN,16.5,49.5,0.69,"",26,4.25,0.9856107606,0,NaN,16.5,49.5,0.72,"",26,4.3125,0.9928314488,0
17,51,0.66,150.78125,155.15625,4.375,0.9860132972,0,NaN,17,51,0.75,150.8125,155.1875,4.375,0.9894548898,0,NaN,17,51,0.66,150.78125,155.15625,4.375,0.9860132972,0,NaN,17,51,0.69,150.8125,155.15625,4.34375,0.9928824718,0,NaN,17,51,0.69,"",26,4.3125,0.9928314488,0,NaN,17,51,0.66,"",26,4.25,0.9856107606,0,NaN,17,51,0.69,"",26,4.3125,0.9928314488,0,NaN,17,51,0.72,"",25,4.3125,0.9858148842,0,NaN,17,51,0.72,"",26,4.25,0.9786452263,0.00322345959,NaN,17,51,0.72,"",26,4.25,0.9856107606,0,NaN,17,51,0.66,"",30,4,0.9630868247,0.004734239769,NaN,17,51,0.66,"",26,4.25,0.9856107606,0,NaN,17,51,0.69,"",26,4.3125,0.9928314488,0
17.5,52.5,0.63,150.8125,155.15625,4.34375,0.9824855102,0,NaN,17.5,52.5,0.72,150.84375,155.15625,4.3125,0.9823619318,0,NaN,17.5,52.5,0.63,150.84375,155.125,4.28125,0.9753916592,0.003730139561,NaN,17.5,52.5,0.66,150.875,155.09375,4.21875,0.9784921096,0.00337590983,NaN,17.5,52.5,0.66,"",26,4.3125,0.9928314488,0,NaN,17.5,52.5,0.63,"",27,4.1875,0.978336781,0.0032405951,NaN,17.5,52.5,0.66,"",26,4.3125,0.9928314488,0,NaN,17.5,52.5,0.69,"",26,4.25,0.9786452263,0.003509349408,NaN,17.5,52.5,0.69,"",27,4.1875,0.9714226536,0.004375616514,NaN,17.5,52.5,0.69,"",26,4.25,0.9856107606,0,NaN,17.5,52.5,0.63,"",31,3.9375,0.9555330859,0.005700088014,NaN,17.5,52.5,0.63,"",27,4.1875,0.978336781,0.0032405951,NaN,17.5,52.5,0.66,"",26,4.3125,0.9928314488,0
18,54,0.6,150.96875,155,4.03125,0.9464847243,0.007969898808,NaN,18,54,0.69,150.875,155.125,4.25,0.9752173866,0.003916272363,NaN,18,54,0.6,150.90625,155.03125,4.125,0.9574271078,0.006067836863,NaN,18,54,0.63,150.9375,155.03125,4.09375,0.9638869302,0.005178671042,NaN,18,54,0.63,"",28,4.1875,0.978336781,0.0032405951,NaN,18,54,0.6,"",29,4.0625,0.9636241117,0.005316918186,NaN,18,54,0.63,"",29,4.125,0.9710083125,0.005181754752,NaN,18,54,0.66,"",28,4.125,0.9641459769,0.005001338515,NaN,18,54,0.66,"",29,4.0625,0.9568139619,0.005421367389,NaN,18,54,0.66,"",27,4.1875,0.978336781,0.002989843671,NaN,18,54,0.6,"",33,3.8125,0.94024357,0.006917766919,NaN,18,54,0.6,"",29,4.0625,0.9636241117,0.005316918186,NaN,18,54,0.63,"",28,4.1875,0.978336781,0.0032405951
18.5,55.5,0.57,151.1875,154.78125,3.59375,0.8936504412,0.01300276347,NaN,18.5,55.5,0.66,150.9375,155.0625,4.125,0.9607689228,0.006531341057,NaN,18.5,55.5,0.57,151.0625,154.90625,3.84375,0.9242113755,0.009518015117,NaN,18.5,55.5,0.6,151.03125,154.9375,3.90625,0.9415544714,0.007982304122,NaN,18.5,55.5,0.6,"",30,4.0625,0.9636241117,0.005671608778,NaN,18.5,55.5,0.57,"",33,3.8125,0.9335033859,0.007818077308,NaN,18.5,55.5,0.6,"",34,3.8125,0.9335033859,0.008242664248,NaN,18.5,55.5,0.63,"",30,4,0.9494253266,0.006682293651,NaN,18.5,55.5,0.63,"",30,4,0.9494253266,0.006682293651,NaN,18.5,55.5,0.63,"",28,4.125,0.9710083125,0.003653689224,NaN,18.5,55.5,0.57,"",35,3.6875,0.9247012835,0.007954873632,NaN,18.5,55.5,0.57,"",33,3.8125,0.9335033859,0.007818077308,NaN,18.5,55.5,0.6,"",30,4.0625,0.9636241117,0.005671608778
