Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A6,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14,-42,2.52,150.71875,155.21875,4.5,1.0000,0.0000,,-14,-42,2.61,150.78125,155.21875,4.4375,0.9965,0.0000,,-14,-42,2.52,,,0,,,,-14,-42,2.55,150.75,155.21875,4.46875,1.0071,0.0000,,-14,-42,2.55,,,,,,,-14,-42,2.52,,,,,,,-14,-42,2.55,,,,,,,-14,-42,2.58,,,,,,,-14,-42,2.58,,,,,,,-14,-42,2.58,,24,4.375,1.0000,0.0000,,-14,-42,2.52,,,,,,,-14,-42,2.52,,,,,,,-14,-42,2.55,,,,,
-13.5,-40.5,2.49,,,0,,,,-13.5,-40.5,2.58,,,0,,,,-13.5,-40.5,2.49,,,0,,,,-13.5,-40.5,2.52,,,0,,,,-13.5,-40.5,2.52,,,,,,,-13.5,-40.5,2.49,,,,,,,-13.5,-40.5,2.52,,,,,,,-13.5,-40.5,2.55,,,,,,,-13.5,-40.5,2.55,,,,,,,-13.5,-40.5,2.55,,,,,,,-13.5,-40.5,2.49,,,,,,,-13.5,-40.5,2.49,,,,,,,-13.5,-40.5,2.52,,,,,
-13,-39,2.46,,,0,,,,-13,-39,2.55,,,0,,,,-13,-39,2.46,150.75,155.25,4.5,1.0000,0.0000,,-13,-39,2.49,,,0,,,,-13,-39,2.49,,24,4.4375,1.0071,0.0000,,-13,-39,2.46,,24,4.375,1.0000,0.0000,,-13,-39,2.49,,,,,,,-13,-39,2.52,,,,,,,-13,-39,2.52,,,,,,,-13,-39,2.52,,23,4.4375,1.0071,0.0000,,-13,-39,2.46,,,,,,,-13,-39,2.46,,24,4.375,1.0000,0.0000,,-13,-39,2.49,,24,4.4375,1.0071,0.0000
-12.5,-37.5,2.43,,,0,,,,-12.5,-37.5,2.52,,,0,,,,-12.5,-37.5,2.43,,,0,,,,-12.5,-37.5,2.46,,,0,,,,-12.5,-37.5,2.46,,,,,,,-12.5,-37.5,2.43,,,,,,,-12.5,-37.5,2.46,,,,,,,-12.5,-37.5,2.49,,,,,,,-12.5,-37.5,2.49,,,,,,,-12.5,-37.5,2.49,,,,,,,-12.5,-37.5,2.43,,,,,,,-12.5,-37.5,2.43,,,,,,,-12.5,-37.5,2.46,,,,,
-12,-36,2.4,150.71875,155.21875,4.5,1.0000,0.0000,,-12,-36,2.49,150.78125,155.21875,4.4375,0.9965,0.0000,,-12,-36,2.4,,,0,,,,-12,-36,2.43,150.75,155.21875,4.46875,1.0071,0.0000,,-12,-36,2.43,,,,,,,-12,-36,2.4,,,,,,,-12,-36,2.43,,,,,,,-12,-36,2.46,,,,,,,-12,-36,2.46,,,,,,,-12,-36,2.46,,23,4.4375,1.0071,0.0000,,-12,-36,2.4,,,,,,,-12,-36,2.4,,,,,,,-12,-36,2.43,,,,,
-11.5,-34.5,2.37,,,0,,,,-11.5,-34.5,2.46,,,0,,,,-11.5,-34.5,2.37,,,0,,,,-11.5,-34.5,2.4,,,0,,,,-11.5,-34.5,2.4,,,,,,,-11.5,-34.5,2.37,,,,,,,-11.5,-34.5,2.4,,,,,,,-11.5,-34.5,2.43,,,,,,,-11.5,-34.5,2.43,,,,,,,-11.5,-34.5,2.43,,,,,,,-11.5,-34.5,2.37,,,,,,,-11.5,-34.5,2.37,,,,,,,-11.5,-34.5,2.4,,,,,
-11,-33,2.34,,,0,,,,-11,-33,2.43,,,0,,,,-11,-33,2.34,150.75,155.25,4.5,1.0000,0.0000,,-11,-33,2.37,,,0,,,,-11,-33,2.37,,24,4.4375,1.0071,0.0000,,-11,-33,2.34,,24,4.375,1.0000,0.0000,,-11,-33,2.37,,24,4.4375,1.0071,0.0000,,-11,-33,2.4,,23,4.4375,1.0000,0.0000,,-11,-33,2.4,,23,4.4375,1.0000,0.0000,,-11,-33,2.4,,,,,,,-11,-33,2.34,,,,,,,-11,-33,2.34,,24,4.375,1.0000,0.0000,,-11,-33,2.37,,24,4.4375,1.0071,0.0000
-10.5,-31.5,2.31,,,0,,,,-10.5,-31.5,2.4,,,0,,,,-10.5,-31.5,2.31,,,0,,,,-10.5,-31.5,2.34,,,0,,,,-10.5,-31.5,2.34,,,,,,,-10.5,-31.5,2.31,,,,,,,-10.5,-31.5,2.34,,,,,,,-10.5,-31.5,2.37,,,,,,,-10.5,-31.5,2.37,,,,,,,-10.5,-31.5,2.37,,,,,,,-10.5,-31.5,2.31,,,,,,,-10.5,-31.5,2.31,,,,,,,-10.5,-31.5,2.34,,,,,
-10,-30,2.28,150.71875,155.21875,4.5,1.0000,0.0000,,-10,-30,2.37,150.78125,155.21875,4.4375,0.9965,0.0000,,-10,-30,2.28,,,0,,,,-10,-30,2.31,150.75,155.21875,4.46875,1.0071,0.0000,,-10,-30,2.31,,,,,,,-10,-30,2.28,,,,,,,-10,-30,2.31,,,,,,,-10,-30,2.34,,,,,,,-10,-30,2.34,,,,,,,-10,-30,2.34,,23,4.4375,1.0071,0.0000,,-10,-30,2.28,,,,,,,-10,-30,2.28,,,,,,,-10,-30,2.31,,,,,
-9.5,-28.5,2.25,,,0,,,,-9.5,-28.5,2.34,,,0,,,,-9.5,-28.5,2.25,,,0,,,,-9.5,-28.5,2.28,,,0,,,,-9.5,-28.5,2.28,,,,,,,-9.5,-28.5,2.25,,,,,,,-9.5,-28.5,2.28,,,,,,,-9.5,-28.5,2.31,,,,,,,-9.5,-28.5,2.31,,,,,,,-9.5,-28.5,2.31,,,,,,,-9.5,-28.5,2.25,,,,,,,-9.5,-28.5,2.25,,,,,,,-9.5,-28.5,2.28,,,,,
-9,-27,2.22,,,0,,,,-9,-27,2.31,,,0,,,,-9,-27,2.22,150.75,155.21875,4.46875,0.9965,0.0000,,-9,-27,2.25,,,0,,,,-9,-27,2.25,,24,4.4375,1.0071,0.0000,,-9,-27,2.22,,24,4.375,1.0000,0.0000,,-9,-27,2.25,,25,4.375,1.0000,0.0000,,-9,-27,2.28,,23,4.4375,1.0000,0.0000,,-9,-27,2.28,,23,4.4375,1.0000,0.0000,,-9,-27,2.28,,,,,,,-9,-27,2.22,,,,,,,-9,-27,2.22,,24,4.375,1.0000,0.0000,,-9,-27,2.25,,24,4.4375,1.0071,0.0000
-8.5,-25.5,2.19,,,0,,,,-8.5,-25.5,2.28,,,0,,,,-8.5,-25.5,2.19,,,0,,,,-8.5,-25.5,2.22,,,0,,,,-8.5,-25.5,2.22,,,,,,,-8.5,-25.5,2.19,,,,,,,-8.5,-25.5,2.22,,,,,,,-8.5,-25.5,2.25,,,,,,,-8.5,-25.5,2.25,,,,,,,-8.5,-25.5,2.25,,,,,,,-8.5,-25.5,2.19,,,,,,,-8.5,-25.5,2.19,,,,,,,-8.5,-25.5,2.22,,,,,
-8,-24,2.16,150.75,155.21875,4.46875,0.9965,0.0000,,-8,-24,2.25,150.78125,155.21875,4.4375,0.9965,0.0000,,-8,-24,2.16,,,0,,,,-8,-24,2.19,150.78125,155.21875,4.4375,1.0035,0.0000,,-8,-24,2.19,,,,,,,-8,-24,2.16,,,,,,,-8,-24,2.19,,,,,,,-8,-24,2.22,,,,,,,-8,-24,2.22,,,,,,,-8,-24,2.22,,23,4.4375,1.0071,0.0000,,-8,-24,2.16,,,,,,,-8,-24,2.16,,,,,,,-8,-24,2.19,,,,,
