Station1,date,LargeOscillationsInMiniscus,Var4,Var5,Var6,Var7,Var8,Var9,Station2,date_1,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Station3,date_2,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Station4,date_3,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Station5,date_4,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Station6,date_5,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Station7,date_6,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Station8,date_7,Var66,Var67,Var68,Var69,Var70,Var71
-13,-39,2.28,NaN,NaN,0,,"",NaN,-13,-39,2.34,NaN,NaN,0,,"",NaN,-13,-39,2.37,NaN,NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,""
-12.5,-37.5,2.25,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.31,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.34,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,""
-12,-36,2.22,NaN,NaN,0,,"",NaN,-12,-36,2.28,NaN,NaN,0,,"",NaN,-12,-36,2.31,NaN,NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,""
-11.5,-34.5,2.19,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.25,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.28,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,""
-11,-33,2.16,NaN,NaN,0,,"",NaN,-11,-33,2.22,NaN,NaN,0,,"",NaN,-11,-33,2.25,NaN,NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,""
-10.5,-31.5,2.13,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.19,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.22,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,""
-10,-30,2.1,NaN,NaN,0,,"",NaN,-10,-30,2.16,NaN,NaN,0,,"",NaN,-10,-30,2.19,NaN,NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,""
-9.5,-28.5,2.07,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.13,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.16,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,""
-9,-27,2.04,NaN,NaN,0,,"",NaN,-9,-27,2.1,NaN,NaN,0,,"",NaN,-9,-27,2.13,NaN,NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,""
-8.5,-25.5,2.01,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.07,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.1,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.01,"",NaN,0,,"",NaN,-8.5,-25.5,2.01,"",NaN,0,,"",NaN,-8.5,-25.5,2.01,"",NaN,0,,"",NaN,-8.5,-25.5,2.01,"",NaN,0,,"",NaN,-8.5,-25.5,2.01,"",NaN,0,,""
-8,-24,1.98,NaN,NaN,0,,"",NaN,-8,-24,2.04,NaN,NaN,0,,"",NaN,-8,-24,2.07,NaN,NaN,0,,"",NaN,-8,-24,1.98,"",NaN,0,,"",NaN,-8,-24,1.98,"",NaN,0,,"",NaN,-8,-24,1.98,"",NaN,0,,"",NaN,-8,-24,1.98,"",NaN,0,,"",NaN,-8,-24,1.98,"",NaN,0,,""
-7.5,-22.5,1.95,NaN,NaN,0,,"",NaN,-7.5,-22.5,2.01,NaN,NaN,0,,"",NaN,-7.5,-22.5,2.04,NaN,NaN,0,,"",NaN,-7.5,-22.5,1.95,"",NaN,0,,"",NaN,-7.5,-22.5,1.95,"",NaN,0,,"",NaN,-7.5,-22.5,1.95,"",NaN,0,,"",NaN,-7.5,-22.5,1.95,"",NaN,0,,"",NaN,-7.5,-22.5,1.95,"",NaN,0,,""
-7,-21,1.92,NaN,NaN,0,,"",NaN,-7,-21,1.98,NaN,NaN,0,,"",NaN,-7,-21,2.01,NaN,NaN,0,,"",NaN,-7,-21,1.92,"",NaN,0,,"",NaN,-7,-21,1.92,"",NaN,0,,"",NaN,-7,-21,1.92,"",NaN,0,,"",NaN,-7,-21,1.92,"",NaN,0,,"",NaN,-7,-21,1.92,"",NaN,0,,""
-6.5,-19.5,1.89,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.95,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.98,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.89,"",NaN,0,,"",NaN,-6.5,-19.5,1.89,"",NaN,0,,"",NaN,-6.5,-19.5,1.89,"",NaN,0,,"",NaN,-6.5,-19.5,1.89,"",NaN,0,,"",NaN,-6.5,-19.5,1.89,"",NaN,0,,""
-6,-18,1.86,NaN,NaN,0,,"",NaN,-6,-18,1.92,NaN,NaN,0,,"",NaN,-6,-18,1.95,NaN,NaN,0,,"",NaN,-6,-18,1.86,"",NaN,0,,"",NaN,-6,-18,1.86,"",NaN,0,,"",NaN,-6,-18,1.86,"",NaN,0,,"",NaN,-6,-18,1.86,"",NaN,0,,"",NaN,-6,-18,1.86,"",NaN,0,,""
-5.5,-16.5,1.83,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.89,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.92,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.83,"",NaN,0,,"",NaN,-5.5,-16.5,1.83,"",NaN,0,,"",NaN,-5.5,-16.5,1.83,"",NaN,0,,"",NaN,-5.5,-16.5,1.83,"",NaN,0,,"",NaN,-5.5,-16.5,1.83,"",NaN,0,,""
-5,-15,1.8,NaN,NaN,0,,"",NaN,-5,-15,1.86,NaN,NaN,0,,"",NaN,-5,-15,1.89,NaN,NaN,0,,"",NaN,-5,-15,1.8,"",NaN,0,,"",NaN,-5,-15,1.8,"",NaN,0,,"",NaN,-5,-15,1.8,"",NaN,0,,"",NaN,-5,-15,1.8,"",NaN,0,,"",NaN,-5,-15,1.8,"",NaN,0,,""
-4.5,-13.5,1.77,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.83,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.86,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.77,"",NaN,0,,"",NaN,-4.5,-13.5,1.77,"",NaN,0,,"",NaN,-4.5,-13.5,1.77,"",NaN,0,,"",NaN,-4.5,-13.5,1.77,"",NaN,0,,"",NaN,-4.5,-13.5,1.77,"",NaN,0,,""
-4,-12,1.74,NaN,NaN,0,,"",NaN,-4,-12,1.8,NaN,NaN,0,,"",NaN,-4,-12,1.83,NaN,NaN,0,,"",NaN,-4,-12,1.74,"",NaN,0,,"",NaN,-4,-12,1.74,"",NaN,0,,"",NaN,-4,-12,1.74,"",NaN,0,,"",NaN,-4,-12,1.74,"",NaN,0,,"",NaN,-4,-12,1.74,"",NaN,0,,""
-3.5,-10.5,1.71,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.77,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.8,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.71,"",NaN,0,,"",NaN,-3.5,-10.5,1.71,"",NaN,0,,"",NaN,-3.5,-10.5,1.71,"",NaN,0,,"",NaN,-3.5,-10.5,1.71,"",NaN,0,,"",NaN,-3.5,-10.5,1.71,"",NaN,0,,""
-3,-9,1.68,NaN,NaN,0,,"",NaN,-3,-9,1.74,NaN,NaN,0,,"",NaN,-3,-9,1.77,NaN,NaN,0,,"",NaN,-3,-9,1.68,"",NaN,0,,"",NaN,-3,-9,1.68,"",NaN,0,,"",NaN,-3,-9,1.68,"",NaN,0,,"",NaN,-3,-9,1.68,"",NaN,0,,"",NaN,-3,-9,1.68,"",NaN,0,,""
-2.5,-7.5,1.65,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.71,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.74,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.65,"",NaN,0,,"",NaN,-2.5,-7.5,1.65,"",NaN,0,,"",NaN,-2.5,-7.5,1.65,"",NaN,0,,"",NaN,-2.5,-7.5,1.65,"",NaN,0,,"",NaN,-2.5,-7.5,1.65,"",NaN,0,,""
-2,-6,1.62,NaN,NaN,0,,"",NaN,-2,-6,1.68,NaN,NaN,0,,"",NaN,-2,-6,1.71,NaN,NaN,0,,"",NaN,-2,-6,1.62,"",NaN,0,,"",NaN,-2,-6,1.62,"",NaN,0,,"",NaN,-2,-6,1.62,"",NaN,0,,"",NaN,-2,-6,1.62,"",NaN,0,,"",NaN,-2,-6,1.62,"",NaN,0,,""
-1.5,-4.5,1.59,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.65,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.68,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.59,"",NaN,0,,"",NaN,-1.5,-4.5,1.59,"",NaN,0,,"",NaN,-1.5,-4.5,1.59,"",NaN,0,,"",NaN,-1.5,-4.5,1.59,"",NaN,0,,"",NaN,-1.5,-4.5,1.59,"",NaN,0,,""
-1,-3,1.56,NaN,NaN,0,,"",NaN,-1,-3,1.62,NaN,NaN,0,,"",NaN,-1,-3,1.65,NaN,NaN,0,,"",NaN,-1,-3,1.56,"",NaN,0,,"",NaN,-1,-3,1.56,"",NaN,0,,"",NaN,-1,-3,1.56,"",NaN,0,,"",NaN,-1,-3,1.56,"",NaN,0,,"",NaN,-1,-3,1.56,"",NaN,0,,""
-0.5,-1.5,1.53,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.59,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.62,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,""
0,0,1.5,150.8125,155.3125,4.5,0.9931270663,"0",NaN,0,0,1.56,150.8125,155.3125,4.5,1,"0",NaN,0,0,1.59,150.84375,155.3125,4.46875,0.9965217286,"0",NaN,0,0,1.5,"",NaN,0,,"",NaN,0,0,1.5,"",NaN,0,,"",NaN,0,0,1.5,"",NaN,0,,"",NaN,0,0,1.5,"",NaN,0,,"",NaN,0,0,1.5,"",NaN,0,,""
0.5,1.5,1.47,NaN,NaN,0,,"",NaN,0.5,1.5,1.53,NaN,NaN,0,,"",NaN,0.5,1.5,1.56,NaN,NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,""
1,3,1.44,NaN,NaN,0,,"",NaN,1,3,1.5,NaN,NaN,0,,"",NaN,1,3,1.53,NaN,NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,""
1.5,4.5,1.41,NaN,NaN,0,,"",NaN,1.5,4.5,1.47,NaN,NaN,0,,"",NaN,1.5,4.5,1.5,NaN,NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,""
2,6,1.38,150.8125,155.3125,4.5,0.9931270663,"0",NaN,2,6,1.44,150.8125,155.3125,4.5,1,"0",NaN,2,6,1.47,150.84375,155.3125,4.46875,0.9965217286,"0",NaN,2,6,1.38,"",NaN,0,,"",NaN,2,6,1.38,"",NaN,0,,"",NaN,2,6,1.38,"",NaN,0,,"",NaN,2,6,1.38,"",NaN,0,,"",NaN,2,6,1.38,"",NaN,0,,""
2.5,7.5,1.35,NaN,NaN,0,,"",NaN,2.5,7.5,1.41,NaN,NaN,0,,"",NaN,2.5,7.5,1.44,NaN,NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,""
3,9,1.32,NaN,NaN,0,,"",NaN,3,9,1.38,NaN,NaN,0,,"",NaN,3,9,1.41,NaN,NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,""
3.5,10.5,1.29,NaN,NaN,0,,"",NaN,3.5,10.5,1.35,NaN,NaN,0,,"",NaN,3.5,10.5,1.38,NaN,NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,""
4,12,1.26,150.8125,155.3125,4.5,0.9931270663,"0",NaN,4,12,1.32,150.8125,155.3125,4.5,1,"0",NaN,4,12,1.35,150.84375,155.3125,4.46875,0.9965217286,"0",NaN,4,12,1.26,"",NaN,0,,"",NaN,4,12,1.26,"",NaN,0,,"",NaN,4,12,1.26,"",NaN,0,,"",NaN,4,12,1.26,"",NaN,0,,"",NaN,4,12,1.26,"",NaN,0,,""
4.5,13.5,1.23,NaN,NaN,0,,"",NaN,4.5,13.5,1.29,NaN,NaN,0,,"",NaN,4.5,13.5,1.32,NaN,NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,""
5,15,1.2,NaN,NaN,0,,"",NaN,5,15,1.26,NaN,NaN,0,,"",NaN,5,15,1.29,NaN,NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,""
5.5,16.5,1.17,NaN,NaN,0,,"",NaN,5.5,16.5,1.23,NaN,NaN,0,,"",NaN,5.5,16.5,1.26,NaN,NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,""
6,18,1.14,150.8125,155.3125,4.5,0.9931270663,"0",NaN,6,18,1.2,150.8125,155.3125,4.5,1,"0",NaN,6,18,1.23,150.84375,155.3125,4.46875,0.9965217286,"0",NaN,6,18,1.14,"",NaN,0,,"",NaN,6,18,1.14,"",NaN,0,,"",NaN,6,18,1.14,"",NaN,0,,"",NaN,6,18,1.14,"",NaN,0,,"",NaN,6,18,1.14,"",NaN,0,,""
6.5,19.5,1.11,NaN,NaN,0,,"",NaN,6.5,19.5,1.17,NaN,NaN,0,,"",NaN,6.5,19.5,1.2,NaN,NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,""
7,21,1.08,NaN,NaN,0,,"",NaN,7,21,1.14,NaN,NaN,0,,"",NaN,7,21,1.17,NaN,NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,""
7.5,22.5,1.05,NaN,NaN,0,,"",NaN,7.5,22.5,1.11,NaN,NaN,0,,"",NaN,7.5,22.5,1.14,NaN,NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,""
8,24,1.02,150.8125,155.3125,4.5,0.9931270663,"0",NaN,8,24,1.08,150.84375,155.3125,4.46875,0.9965217286,"0",NaN,8,24,1.11,150.84375,155.3125,4.46875,0.9965217286,"0",NaN,8,24,1.02,"",NaN,0,,"",NaN,8,24,1.02,"",NaN,0,,"",NaN,8,24,1.02,"",NaN,0,,"",NaN,8,24,1.02,"",NaN,0,,"",NaN,8,24,1.02,"",NaN,0,,""
8.5,25.5,0.99,NaN,NaN,0,,"",NaN,8.5,25.5,1.05,NaN,NaN,0,,"",NaN,8.5,25.5,1.08,NaN,NaN,0,,"",NaN,8.5,25.5,0.99,"",NaN,0,,"",NaN,8.5,25.5,0.99,"",NaN,0,,"",NaN,8.5,25.5,0.99,"",NaN,0,,"",NaN,8.5,25.5,0.99,"",NaN,0,,"",NaN,8.5,25.5,0.99,"",NaN,0,,""
9,27,0.96,NaN,NaN,0,,"",NaN,9,27,1.02,NaN,NaN,0,,"",NaN,9,27,1.05,NaN,NaN,0,,"",NaN,9,27,0.96,"",NaN,0,,"",NaN,9,27,0.96,"",NaN,0,,"",NaN,9,27,0.96,"",NaN,0,,"",NaN,9,27,0.96,"",NaN,0,,"",NaN,9,27,0.96,"",NaN,0,,""
9.5,28.5,0.93,NaN,NaN,0,,"",NaN,9.5,28.5,0.99,NaN,NaN,0,,"",NaN,9.5,28.5,1.02,NaN,NaN,0,,"",NaN,9.5,28.5,0.93,"",NaN,0,,"",NaN,9.5,28.5,0.93,"",NaN,0,,"",NaN,9.5,28.5,0.93,"",NaN,0,,"",NaN,9.5,28.5,0.93,"",NaN,0,,"",NaN,9.5,28.5,0.93,"",NaN,0,,""
