Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
Δh = x-y,4.6875,4.625,4.8125,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,0.9867543821,0.9867543821,0.9874208829,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,154.75,154.75,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,150.125,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.625,4.625,4.875,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,0.9867543821,0.9867543821,0.9874208829,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,154.75,154.75,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,150.125,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.625,4.625,4.875,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,0,0.9867543821,0.9874208829,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,NaN,154.75,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,4.625,4.875,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,0,0,0,0,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,0,0,NaN,NaN,NaN,NaN,NaN
