Data,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,TopOfTheDiscIsUpstreamOfBottomOfDisc,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,TopOfTheDiscIsDownstreamOfBottomOfDisc,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
NaN,NaN,NaN,NaN,NaN,NaN,,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"",NaN,NaN,NaN,NaN,"",NaN,NaN,,"",NaN,NaN,NaN,NaN,"",NaN,NaN,,""
NaN,NaN,11.16,NaN,NaN,NaN,,"",NaN,NaN,NaN,11.16,NaN,NaN,NaN,,"",NaN,NaN,NaN,11.18,NaN,NaN,NaN,,"",NaN,NaN,NaN,11.18,NaN,NaN,NaN,,"",NaN,NaN,44893,NaN,NaN,NaN,NaN,,"",NaN,NaN,44893,NaN,NaN,NaN,NaN,,"",NaN,NaN,NaN,NaN,"",NaN,NaN,,"",NaN,NaN,NaN,NaN,"",NaN,NaN,,""
NaN,4.4375,NaN,NaN,0.2827433388,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.4375,NaN,NaN,0.2827433388,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.375,NaN,NaN,0.2827433388,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.375,NaN,NaN,0.2827433388,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.28125,NaN,NaN,0.2827433388,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.28125,NaN,NaN,0.2827433388,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.5,NaN,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.5,NaN,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,NaN,,"U inclusion threshold for thrust"
NaN,9.5,NaN,NaN,0.104692139,NaN,,"0.98",NaN,NaN,14.3,NaN,NaN,0.1098676207,NaN,,"0.98",NaN,NaN,19.3,NaN,NaN,0.1093418154,NaN,,"0.98",NaN,NaN,24.3,NaN,NaN,0.105223142,NaN,,"0.98",NaN,NaN,29.3,NaN,NaN,0.08723940525,NaN,,"0.98",NaN,NaN,34.3,NaN,NaN,0.08880474467,NaN,,"0.98",NaN,NaN,39.3,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0,NaN,,"0.98",NaN,NaN,44.3,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0,NaN,,"0.98"
NaN,5.2625,NaN,NaN,0.7405453964,NaN,,"",NaN,NaN,10.0625,NaN,NaN,0.7771544407,NaN,,"",NaN,NaN,15.0625,NaN,NaN,0.7734351292,NaN,,"",NaN,NaN,20.0625,NaN,NaN,0.7443014747,NaN,,"",NaN,NaN,25.0625,NaN,NaN,0.6170925591,NaN,,"",NaN,NaN,30.0625,NaN,NaN,0.6281650704,NaN,,"",NaN,NaN,35.0625,NaN,"Thrust coefficient",0,NaN,,"",NaN,NaN,40.0625,NaN,"Thrust coefficient",0,NaN,,""
NaN,1.0525,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,2.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,3.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,4.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,5.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,6.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,7.0125,NaN,"",NaN,NaN,,"Trapezium, full circle",NaN,NaN,8.0125,NaN,"",NaN,NaN,,"Trapezium, full circle"
NaN,75,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,"",NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,"",NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner"
NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,"h1",NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,"h1",NaN,NaN,U/Uinf,"Normalized thrust (full circles)"
-15,-45,2.4,NaN,NaN,0,,"",NaN,-15,-45,2.4,NaN,NaN,0,,"",NaN,-15,-45,2.4,NaN,NaN,0,,"",NaN,-15,-45,2.4,NaN,NaN,0,,"",NaN,-15,-45,2.4,NaN,NaN,0,,"",NaN,-15,-45,2.4,NaN,NaN,0,,"",NaN,-15,-45,2.4,"",NaN,0,,"",NaN,-15,-45,2.4,"",NaN,0,,""
-14.5,-43.5,2.37,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.37,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.37,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.37,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.37,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.37,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.37,"",NaN,0,,"",NaN,-14.5,-43.5,2.37,"",NaN,0,,""
-14,-42,2.34,NaN,NaN,0,,"",NaN,-14,-42,2.34,NaN,NaN,0,,"",NaN,-14,-42,2.34,NaN,NaN,0,,"",NaN,-14,-42,2.34,NaN,NaN,0,,"",NaN,-14,-42,2.34,NaN,NaN,0,,"",NaN,-14,-42,2.34,NaN,NaN,0,,"",NaN,-14,-42,2.34,"",NaN,0,,"",NaN,-14,-42,2.34,"",NaN,0,,""
-13.5,-40.5,2.31,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.31,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.31,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.31,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.31,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.31,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.31,"",NaN,0,,"",NaN,-13.5,-40.5,2.31,"",NaN,0,,""
-13,-39,2.28,NaN,NaN,0,,"",NaN,-13,-39,2.28,NaN,NaN,0,,"",NaN,-13,-39,2.28,NaN,NaN,0,,"",NaN,-13,-39,2.28,NaN,NaN,0,,"",NaN,-13,-39,2.28,NaN,NaN,0,,"",NaN,-13,-39,2.28,NaN,NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,""
-12.5,-37.5,2.25,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.25,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.25,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.25,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.25,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.25,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,""
-12,-36,2.22,NaN,NaN,0,,"",NaN,-12,-36,2.22,NaN,NaN,0,,"",NaN,-12,-36,2.22,NaN,NaN,0,,"",NaN,-12,-36,2.22,NaN,NaN,0,,"",NaN,-12,-36,2.22,NaN,NaN,0,,"",NaN,-12,-36,2.22,NaN,NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,""
-11.5,-34.5,2.19,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.19,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.19,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.19,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.19,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.19,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,""
-11,-33,2.16,NaN,NaN,0,,"",NaN,-11,-33,2.16,NaN,NaN,0,,"",NaN,-11,-33,2.16,NaN,NaN,0,,"",NaN,-11,-33,2.16,NaN,NaN,0,,"",NaN,-11,-33,2.16,NaN,NaN,0,,"",NaN,-11,-33,2.16,NaN,NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,""
-10.5,-31.5,2.13,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.13,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.13,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.13,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.13,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.13,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,""
-10,-30,2.1,NaN,NaN,0,,"",NaN,-10,-30,2.1,NaN,NaN,0,,"",NaN,-10,-30,2.1,NaN,NaN,0,,"",NaN,-10,-30,2.1,NaN,NaN,0,,"",NaN,-10,-30,2.1,NaN,NaN,0,,"",NaN,-10,-30,2.1,NaN,NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,""
-9.5,-28.5,2.07,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.07,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.07,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.07,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.07,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.07,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,""
-9,-27,2.04,NaN,NaN,0,,"",NaN,-9,-27,2.04,NaN,NaN,0,,"",NaN,-9,-27,2.04,NaN,NaN,0,,"",NaN,-9,-27,2.04,NaN,NaN,0,,"",NaN,-9,-27,2.04,NaN,NaN,0,,"",NaN,-9,-27,2.04,NaN,NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,""
-8.5,-25.5,2.01,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.01,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.01,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.01,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.01,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.01,NaN,NaN,0,,"",NaN,-8.5,-25.5,2.01,"",NaN,0,,"",NaN,-8.5,-25.5,2.01,"",NaN,0,,""
-8,-24,1.98,NaN,NaN,0,,"",NaN,-8,-24,1.98,NaN,NaN,0,,"",NaN,-8,-24,1.98,NaN,NaN,0,,"",NaN,-8,-24,1.98,NaN,NaN,0,,"",NaN,-8,-24,1.98,NaN,NaN,0,,"",NaN,-8,-24,1.98,NaN,NaN,0,,"",NaN,-8,-24,1.98,"",NaN,0,,"",NaN,-8,-24,1.98,"",NaN,0,,""
-7.5,-22.5,1.95,NaN,NaN,0,,"",NaN,-7.5,-22.5,1.95,NaN,NaN,0,,"",NaN,-7.5,-22.5,1.95,NaN,NaN,0,,"",NaN,-7.5,-22.5,1.95,NaN,NaN,0,,"",NaN,-7.5,-22.5,1.95,NaN,NaN,0,,"",NaN,-7.5,-22.5,1.95,NaN,NaN,0,,"",NaN,-7.5,-22.5,1.95,"",NaN,0,,"",NaN,-7.5,-22.5,1.95,"",NaN,0,,""
-7,-21,1.92,NaN,NaN,0,,"",NaN,-7,-21,1.92,NaN,NaN,0,,"",NaN,-7,-21,1.92,NaN,NaN,0,,"",NaN,-7,-21,1.92,NaN,NaN,0,,"",NaN,-7,-21,1.92,NaN,NaN,0,,"",NaN,-7,-21,1.92,NaN,NaN,0,,"",NaN,-7,-21,1.92,"",NaN,0,,"",NaN,-7,-21,1.92,"",NaN,0,,""
-6.5,-19.5,1.89,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.89,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.89,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.89,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.89,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.89,NaN,NaN,0,,"",NaN,-6.5,-19.5,1.89,"",NaN,0,,"",NaN,-6.5,-19.5,1.89,"",NaN,0,,""
-6,-18,1.86,NaN,NaN,0,,"",NaN,-6,-18,1.86,NaN,NaN,0,,"",NaN,-6,-18,1.86,NaN,NaN,0,,"",NaN,-6,-18,1.86,NaN,NaN,0,,"",NaN,-6,-18,1.86,NaN,NaN,0,,"",NaN,-6,-18,1.86,NaN,NaN,0,,"",NaN,-6,-18,1.86,"",NaN,0,,"",NaN,-6,-18,1.86,"",NaN,0,,""
-5.5,-16.5,1.83,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.83,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.83,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.83,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.83,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.83,NaN,NaN,0,,"",NaN,-5.5,-16.5,1.83,"",NaN,0,,"",NaN,-5.5,-16.5,1.83,"",NaN,0,,""
-5,-15,1.8,NaN,NaN,0,,"",NaN,-5,-15,1.8,NaN,NaN,0,,"",NaN,-5,-15,1.8,NaN,NaN,0,,"",NaN,-5,-15,1.8,NaN,NaN,0,,"",NaN,-5,-15,1.8,NaN,NaN,0,,"",NaN,-5,-15,1.8,NaN,NaN,0,,"",NaN,-5,-15,1.8,"",NaN,0,,"",NaN,-5,-15,1.8,"",NaN,0,,""
-4.5,-13.5,1.77,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.77,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.77,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.77,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.77,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.77,NaN,NaN,0,,"",NaN,-4.5,-13.5,1.77,"",NaN,0,,"",NaN,-4.5,-13.5,1.77,"",NaN,0,,""
-4,-12,1.74,NaN,NaN,0,,"",NaN,-4,-12,1.74,NaN,NaN,0,,"",NaN,-4,-12,1.74,NaN,NaN,0,,"",NaN,-4,-12,1.74,NaN,NaN,0,,"",NaN,-4,-12,1.74,NaN,NaN,0,,"",NaN,-4,-12,1.74,NaN,NaN,0,,"",NaN,-4,-12,1.74,"",NaN,0,,"",NaN,-4,-12,1.74,"",NaN,0,,""
-3.5,-10.5,1.71,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.71,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.71,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.71,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.71,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.71,NaN,NaN,0,,"",NaN,-3.5,-10.5,1.71,"",NaN,0,,"",NaN,-3.5,-10.5,1.71,"",NaN,0,,""
-3,-9,1.68,NaN,NaN,0,,"",NaN,-3,-9,1.68,NaN,NaN,0,,"",NaN,-3,-9,1.68,NaN,NaN,0,,"",NaN,-3,-9,1.68,NaN,NaN,0,,"",NaN,-3,-9,1.68,NaN,NaN,0,,"",NaN,-3,-9,1.68,NaN,NaN,0,,"",NaN,-3,-9,1.68,"",NaN,0,,"",NaN,-3,-9,1.68,"",NaN,0,,""
-2.5,-7.5,1.65,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.65,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.65,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.65,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.65,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.65,NaN,NaN,0,,"",NaN,-2.5,-7.5,1.65,"",NaN,0,,"",NaN,-2.5,-7.5,1.65,"",NaN,0,,""
-2,-6,1.62,149.75,154.15625,4.40625,0.9964726521,"0",NaN,-2,-6,1.62,NaN,NaN,0,,"",NaN,-2,-6,1.62,NaN,NaN,0,,"",NaN,-2,-6,1.62,NaN,NaN,0,,"",NaN,-2,-6,1.62,NaN,NaN,0,,"",NaN,-2,-6,1.62,NaN,NaN,0,,"",NaN,-2,-6,1.62,"",NaN,0,,"",NaN,-2,-6,1.62,"",NaN,0,,""
-1.5,-4.5,1.59,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.59,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.59,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.59,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.59,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.59,NaN,NaN,0,,"",NaN,-1.5,-4.5,1.59,"",NaN,0,,"",NaN,-1.5,-4.5,1.59,"",NaN,0,,""
-1,-3,1.56,149.75,154.15625,4.40625,0.9964726521,"0",NaN,-1,-3,1.56,NaN,NaN,0,,"",NaN,-1,-3,1.56,NaN,NaN,0,,"",NaN,-1,-3,1.56,NaN,NaN,0,,"",NaN,-1,-3,1.56,NaN,NaN,0,,"",NaN,-1,-3,1.56,NaN,NaN,0,,"",NaN,-1,-3,1.56,"",NaN,0,,"",NaN,-1,-3,1.56,"",NaN,0,,""
-0.5,-1.5,1.53,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.53,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.53,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.53,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.53,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.53,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,""
0,0,1.5,149.75,154.15625,4.40625,0.9964726521,"0",NaN,0,0,1.5,149.78125,154.15625,4.375,0.9929327736,"0",NaN,0,0,1.5,149.8125,154.09375,4.28125,0.989227693,"0",NaN,0,0,1.5,149.8125,154.09375,4.28125,0.989227693,"0",NaN,0,0,1.5,149.78125,154.0625,4.28125,1,"0",NaN,0,0,1.5,149.78125,154.03125,4.25,0.9963436806,"0",NaN,0,0,1.5,"",NaN,0,,"",NaN,0,0,1.5,"",NaN,0,,""
0.5,1.5,1.47,NaN,NaN,0,,"",NaN,0.5,1.5,1.47,NaN,NaN,0,,"",NaN,0.5,1.5,1.47,NaN,NaN,0,,"",NaN,0.5,1.5,1.47,NaN,NaN,0,,"",NaN,0.5,1.5,1.47,NaN,NaN,0,,"",NaN,0.5,1.5,1.47,NaN,NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,""
1,3,1.44,149.75,154.15625,4.40625,0.9964726521,"0",NaN,1,3,1.44,149.78125,154.15625,4.375,0.9929327736,"0",NaN,1,3,1.44,149.8125,154.09375,4.28125,0.989227693,"0",NaN,1,3,1.44,149.8125,154.09375,4.28125,0.989227693,"0",NaN,1,3,1.44,NaN,NaN,0,,"",NaN,1,3,1.44,NaN,NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,""
1.5,4.5,1.41,NaN,NaN,0,,"",NaN,1.5,4.5,1.41,NaN,NaN,0,,"",NaN,1.5,4.5,1.41,NaN,NaN,0,,"",NaN,1.5,4.5,1.41,NaN,NaN,0,,"",NaN,1.5,4.5,1.41,NaN,NaN,0,,"",NaN,1.5,4.5,1.41,NaN,NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,""
2,6,1.38,149.75,154.15625,4.40625,0.9964726521,"0",NaN,2,6,1.38,149.78125,154.15625,4.375,0.9929327736,"0",NaN,2,6,1.38,149.8125,154.09375,4.28125,0.989227693,"0",NaN,2,6,1.38,149.8125,154.09375,4.28125,0.989227693,"0",NaN,2,6,1.38,NaN,NaN,0,,"",NaN,2,6,1.38,NaN,NaN,0,,"",NaN,2,6,1.38,"",NaN,0,,"",NaN,2,6,1.38,"",NaN,0,,""
2.5,7.5,1.35,NaN,NaN,0,,"",NaN,2.5,7.5,1.35,NaN,NaN,0,,"",NaN,2.5,7.5,1.35,NaN,NaN,0,,"",NaN,2.5,7.5,1.35,NaN,NaN,0,,"",NaN,2.5,7.5,1.35,NaN,NaN,0,,"",NaN,2.5,7.5,1.35,NaN,NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,""
3,9,1.32,149.78125,154.15625,4.375,0.9929327736,"0",NaN,3,9,1.32,149.78125,154.15625,4.375,0.9929327736,"0",NaN,3,9,1.32,149.8125,154.09375,4.28125,0.989227693,"0",NaN,3,9,1.32,149.8125,154.09375,4.28125,0.989227693,"0",NaN,3,9,1.32,NaN,NaN,0,,"",NaN,3,9,1.32,NaN,NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,""
3.5,10.5,1.29,NaN,NaN,0,,"",NaN,3.5,10.5,1.29,NaN,NaN,0,,"",NaN,3.5,10.5,1.29,NaN,NaN,0,,"",NaN,3.5,10.5,1.29,NaN,NaN,0,,"",NaN,3.5,10.5,1.29,NaN,NaN,0,,"",NaN,3.5,10.5,1.29,NaN,NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,""
4,12,1.26,149.78125,154.15625,4.375,0.9929327736,"0",NaN,4,12,1.26,149.78125,154.15625,4.375,0.9929327736,"0",NaN,4,12,1.26,149.8125,154.09375,4.28125,0.989227693,"0",NaN,4,12,1.26,149.8125,154.09375,4.28125,0.989227693,"0",NaN,4,12,1.26,NaN,NaN,0,,"",NaN,4,12,1.26,NaN,NaN,0,,"",NaN,4,12,1.26,"",NaN,0,,"",NaN,4,12,1.26,"",NaN,0,,""
4.5,13.5,1.23,NaN,NaN,0,,"",NaN,4.5,13.5,1.23,NaN,NaN,0,,"",NaN,4.5,13.5,1.23,NaN,NaN,0,,"",NaN,4.5,13.5,1.23,NaN,NaN,0,,"",NaN,4.5,13.5,1.23,NaN,NaN,0,,"",NaN,4.5,13.5,1.23,NaN,NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,""
5,15,1.2,149.78125,154.15625,4.375,0.9929327736,"0",NaN,5,15,1.2,149.78125,154.15625,4.375,0.9929327736,"0",NaN,5,15,1.2,149.8125,154.09375,4.28125,0.989227693,"0",NaN,5,15,1.2,149.8125,154.09375,4.28125,0.989227693,"0",NaN,5,15,1.2,NaN,NaN,0,,"",NaN,5,15,1.2,NaN,NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,""
5.5,16.5,1.17,NaN,NaN,0,,"",NaN,5.5,16.5,1.17,NaN,NaN,0,,"",NaN,5.5,16.5,1.17,NaN,NaN,0,,"",NaN,5.5,16.5,1.17,NaN,NaN,0,,"",NaN,5.5,16.5,1.17,NaN,NaN,0,,"",NaN,5.5,16.5,1.17,NaN,NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,""
6,18,1.14,149.78125,154.15625,4.375,0.9929327736,"0",NaN,6,18,1.14,149.78125,154.15625,4.375,0.9929327736,"0",NaN,6,18,1.14,149.8125,154.09375,4.28125,0.989227693,"0",NaN,6,18,1.14,149.8125,154.09375,4.28125,0.989227693,"0",NaN,6,18,1.14,NaN,NaN,0,,"",NaN,6,18,1.14,NaN,NaN,0,,"",NaN,6,18,1.14,"",NaN,0,,"",NaN,6,18,1.14,"",NaN,0,,""
6.5,19.5,1.11,NaN,NaN,0,,"",NaN,6.5,19.5,1.11,NaN,NaN,0,,"",NaN,6.5,19.5,1.11,NaN,NaN,0,,"",NaN,6.5,19.5,1.11,NaN,NaN,0,,"",NaN,6.5,19.5,1.11,NaN,NaN,0,,"",NaN,6.5,19.5,1.11,NaN,NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,""
7,21,1.08,149.78125,154.125,4.34375,0.98938023,"0",NaN,7,21,1.08,149.78125,154.15625,4.375,0.9929327736,"0",NaN,7,21,1.08,149.8125,154.09375,4.28125,0.989227693,"0",NaN,7,21,1.08,149.8125,154.09375,4.28125,0.989227693,"0",NaN,7,21,1.08,NaN,NaN,0,,"",NaN,7,21,1.08,NaN,NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,""
7.5,22.5,1.05,NaN,NaN,0,,"",NaN,7.5,22.5,1.05,NaN,NaN,0,,"",NaN,7.5,22.5,1.05,NaN,NaN,0,,"",NaN,7.5,22.5,1.05,NaN,NaN,0,,"",NaN,7.5,22.5,1.05,NaN,NaN,0,,"",NaN,7.5,22.5,1.05,NaN,NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,""
8,24,1.02,149.78125,154.125,4.34375,0.98938023,"0",NaN,8,24,1.02,149.78125,154.15625,4.375,0.9929327736,"0",NaN,8,24,1.02,149.8125,154.0625,4.25,0.9856107606,"0",NaN,8,24,1.02,149.8125,154.09375,4.28125,0.989227693,"0",NaN,8,24,1.02,NaN,NaN,0,,"",NaN,8,24,1.02,NaN,NaN,0,,"",NaN,8,24,1.02,"",NaN,0,,"",NaN,8,24,1.02,"",NaN,0,,""
