Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,TopSideDownstream_ButTheWindJustBroughtItBackAndMadeItTiltAnoth,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSide,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_1,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_2,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
4.5,13.5,1.23,"",NaN,0,,"",NaN,4.5,13.5,1.23,"",NaN,0,,"",NaN,4.5,13.5,1.35,NaN,NaN,0,,"",NaN,4.5,13.5,1.35,NaN,NaN,0,,"",NaN,4.5,13.5,1.35,NaN,NaN,0,,"",NaN,4.5,13.5,1.35,NaN,NaN,0,,"",NaN,4.5,13.5,1.35,"",NaN,0,,"",NaN,4.5,13.5,1.35,"",NaN,0,,""
5,15,1.2,"",NaN,0,,"",NaN,5,15,1.2,"",NaN,0,,"",NaN,5,15,1.32,NaN,NaN,0,,"",NaN,5,15,1.32,NaN,NaN,0,,"",NaN,5,15,1.32,NaN,NaN,0,,"",NaN,5,15,1.32,NaN,NaN,0,,"",NaN,5,15,1.32,"",NaN,0,,"",NaN,5,15,1.32,"",NaN,0,,""
5.5,16.5,1.17,"",NaN,0,,"",NaN,5.5,16.5,1.17,"",NaN,0,,"",NaN,5.5,16.5,1.29,NaN,NaN,0,,"",NaN,5.5,16.5,1.29,NaN,NaN,0,,"",NaN,5.5,16.5,1.29,NaN,NaN,0,,"",NaN,5.5,16.5,1.29,NaN,NaN,0,,"",NaN,5.5,16.5,1.29,"",NaN,0,,"",NaN,5.5,16.5,1.29,"",NaN,0,,""
6,18,1.14,"",NaN,0,,"",NaN,6,18,1.14,"",NaN,0,,"",NaN,6,18,1.26,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,6,18,1.26,150.78125,155.3125,4.53125,0.9898129771,"0",NaN,6,18,1.26,150.8125,155.3125,4.5,0.9931270663,"0",NaN,6,18,1.26,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,6,18,1.26,"",NaN,0,,"",NaN,6,18,1.26,"",NaN,0,,""
6.5,19.5,1.11,"",NaN,0,,"",NaN,6.5,19.5,1.11,"",NaN,0,,"",NaN,6.5,19.5,1.23,NaN,NaN,0,,"",NaN,6.5,19.5,1.23,NaN,NaN,0,,"",NaN,6.5,19.5,1.23,NaN,NaN,0,,"",NaN,6.5,19.5,1.23,NaN,NaN,0,,"",NaN,6.5,19.5,1.23,"",NaN,0,,"",NaN,6.5,19.5,1.23,"",NaN,0,,""
7,21,1.08,"",NaN,0,,"",NaN,7,21,1.08,"",NaN,0,,"",NaN,7,21,1.2,NaN,NaN,0,,"",NaN,7,21,1.2,NaN,NaN,0,,"",NaN,7,21,1.2,NaN,NaN,0,,"",NaN,7,21,1.2,NaN,NaN,0,,"",NaN,7,21,1.2,"",NaN,0,,"",NaN,7,21,1.2,"",NaN,0,,""
7.5,22.5,1.05,"",NaN,0,,"",NaN,7.5,22.5,1.05,"",NaN,0,,"",NaN,7.5,22.5,1.17,NaN,NaN,0,,"",NaN,7.5,22.5,1.17,NaN,NaN,0,,"",NaN,7.5,22.5,1.17,NaN,NaN,0,,"",NaN,7.5,22.5,1.17,NaN,NaN,0,,"",NaN,7.5,22.5,1.17,"",NaN,0,,"",NaN,7.5,22.5,1.17,"",NaN,0,,""
8,24,1.02,"",NaN,0,,"",NaN,8,24,1.02,"",NaN,0,,"",NaN,8,24,1.14,150.84375,155.28125,4.4375,0.993031274,"0",NaN,8,24,1.14,150.78125,155.3125,4.53125,0.9898129771,"0",NaN,8,24,1.14,150.8125,155.3125,4.5,0.9931270663,"0",NaN,8,24,1.14,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,8,24,1.14,"",NaN,0,,"",NaN,8,24,1.14,"",NaN,0,,""
8.5,25.5,0.99,"",NaN,0,,"",NaN,8.5,25.5,0.99,"",NaN,0,,"",NaN,8.5,25.5,1.11,NaN,NaN,0,,"",NaN,8.5,25.5,1.11,NaN,NaN,0,,"",NaN,8.5,25.5,1.11,NaN,NaN,0,,"",NaN,8.5,25.5,1.11,NaN,NaN,0,,"",NaN,8.5,25.5,1.11,"",NaN,0,,"",NaN,8.5,25.5,1.11,"",NaN,0,,""
9,27,0.96,"",NaN,0,,"",NaN,9,27,0.96,"",NaN,0,,"",NaN,9,27,1.08,NaN,NaN,0,,"",NaN,9,27,1.08,NaN,NaN,0,,"",NaN,9,27,1.08,NaN,NaN,0,,"",NaN,9,27,1.08,NaN,NaN,0,,"",NaN,9,27,1.08,"",NaN,0,,"",NaN,9,27,1.08,"",NaN,0,,""
9.5,28.5,0.93,"",NaN,0,,"",NaN,9.5,28.5,0.93,"",NaN,0,,"",NaN,9.5,28.5,1.05,NaN,NaN,0,,"",NaN,9.5,28.5,1.05,NaN,NaN,0,,"",NaN,9.5,28.5,1.05,NaN,NaN,0,,"",NaN,9.5,28.5,1.05,NaN,NaN,0,,"",NaN,9.5,28.5,1.05,"",NaN,0,,"",NaN,9.5,28.5,1.05,"",NaN,0,,""
10,30,0.9,"",NaN,0,,"",NaN,10,30,0.9,"",NaN,0,,"",NaN,10,30,1.02,150.84375,155.28125,4.4375,0.993031274,"0",NaN,10,30,1.02,150.78125,155.3125,4.53125,0.9898129771,"0",NaN,10,30,1.02,150.8125,155.3125,4.5,0.9931270663,"0",NaN,10,30,1.02,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,10,30,1.02,"",NaN,0,,"",NaN,10,30,1.02,"",NaN,0,,""
10.5,31.5,0.87,"",NaN,0,,"",NaN,10.5,31.5,0.87,"",NaN,0,,"",NaN,10.5,31.5,0.99,NaN,NaN,0,,"",NaN,10.5,31.5,0.99,NaN,NaN,0,,"",NaN,10.5,31.5,0.99,NaN,NaN,0,,"",NaN,10.5,31.5,0.99,NaN,NaN,0,,"",NaN,10.5,31.5,0.99,"",NaN,0,,"",NaN,10.5,31.5,0.99,"",NaN,0,,""
11,33,0.84,"",NaN,0,,"",NaN,11,33,0.84,"",NaN,0,,"",NaN,11,33,0.96,NaN,NaN,0,,"",NaN,11,33,0.96,150.78125,155.3125,4.53125,0.9898129771,"0",NaN,11,33,0.96,150.8125,155.28125,4.46875,0.9896727008,"0",NaN,11,33,0.96,150.84375,155.28125,4.4375,0.993031274,"0",NaN,11,33,0.96,"",NaN,0,,"",NaN,11,33,0.96,"",NaN,0,,""
11.5,34.5,0.81,"",NaN,0,,"",NaN,11.5,34.5,0.81,"",NaN,0,,"",NaN,11.5,34.5,0.93,NaN,NaN,0,,"",NaN,11.5,34.5,0.93,NaN,NaN,0,,"",NaN,11.5,34.5,0.93,NaN,NaN,0,,"",NaN,11.5,34.5,0.93,NaN,NaN,0,,"",NaN,11.5,34.5,0.93,"",NaN,0,,"",NaN,11.5,34.5,0.93,"",NaN,0,,""
12,36,0.78,"",NaN,0,,"",NaN,12,36,0.78,"",NaN,0,,"",NaN,12,36,0.9,150.84375,155.28125,4.4375,0.993031274,"0",NaN,12,36,0.9,150.78125,155.3125,4.53125,0.9898129771,"0",NaN,12,36,0.9,150.8125,155.28125,4.46875,0.9896727008,"0",NaN,12,36,0.9,150.84375,155.28125,4.4375,0.993031274,"0",NaN,12,36,0.9,"",NaN,0,,"",NaN,12,36,0.9,"",NaN,0,,""
12.5,37.5,0.75,"",NaN,0,,"",NaN,12.5,37.5,0.75,"",NaN,0,,"",NaN,12.5,37.5,0.87,NaN,NaN,0,,"",NaN,12.5,37.5,0.87,NaN,NaN,0,,"",NaN,12.5,37.5,0.87,NaN,NaN,0,,"",NaN,12.5,37.5,0.87,NaN,NaN,0,,"",NaN,12.5,37.5,0.87,"",NaN,0,,"",NaN,12.5,37.5,0.87,"",NaN,0,,""
13,39,0.72,"",NaN,0,,"",NaN,13,39,0.72,"",NaN,0,,"",NaN,13,39,0.84,NaN,NaN,0,,"",NaN,13,39,0.84,150.78125,155.3125,4.53125,0.9898129771,"0",NaN,13,39,0.84,150.8125,155.28125,4.46875,0.9896727008,"0",NaN,13,39,0.84,150.84375,155.28125,4.4375,0.993031274,"0",NaN,13,39,0.84,"",NaN,0,,"",NaN,13,39,0.84,"",NaN,0,,""
13.5,40.5,0.69,"",NaN,0,,"",NaN,13.5,40.5,0.69,"",NaN,0,,"",NaN,13.5,40.5,0.81,NaN,NaN,0,,"",NaN,13.5,40.5,0.81,NaN,NaN,0,,"",NaN,13.5,40.5,0.81,NaN,NaN,0,,"",NaN,13.5,40.5,0.81,NaN,NaN,0,,"",NaN,13.5,40.5,0.81,"",NaN,0,,"",NaN,13.5,40.5,0.81,"",NaN,0,,""
14,42,0.66,"",NaN,0,,"",NaN,14,42,0.66,"",NaN,0,,"",NaN,14,42,0.78,150.84375,155.28125,4.4375,0.993031274,"0",NaN,14,42,0.78,150.8125,155.3125,4.5,0.9863939238,"0",NaN,14,42,0.78,150.84375,155.28125,4.4375,0.9862062359,"0",NaN,14,42,0.78,150.875,155.25,4.375,0.9860132972,"0",NaN,14,42,0.78,"",NaN,0,,"",NaN,14,42,0.78,"",NaN,0,,""
14.5,43.5,0.63,"",NaN,0,,"",NaN,14.5,43.5,0.63,"",NaN,0,,"",NaN,14.5,43.5,0.75,NaN,NaN,0,,"",NaN,14.5,43.5,0.75,150.8125,155.28125,4.46875,0.982962978,"0",NaN,14.5,43.5,0.75,150.84375,155.25,4.40625,0.9827275435,"0",NaN,14.5,43.5,0.75,150.90625,155.1875,4.28125,0.9753916592,"0.004010459031",NaN,14.5,43.5,0.75,"",NaN,0,,"",NaN,14.5,43.5,0.75,"",NaN,0,,""
15,45,0.6,"",NaN,0,,"",NaN,15,45,0.6,"",NaN,0,,"",NaN,15,45,0.72,150.875,155.21875,4.34375,0.9824855102,"0",NaN,15,45,0.72,150.84375,155.25,4.40625,0.976064907,"0.003955357926",NaN,15,45,0.72,150.90625,155.1875,4.28125,0.968687857,"0.004885986618",NaN,15,45,0.72,150.96875,155.15625,4.1875,0.9646530752,"0.005820282895",NaN,15,45,0.72,"",NaN,0,,"",NaN,15,45,0.72,"",NaN,0,,""
15.5,46.5,0.57,"",NaN,0,,"",NaN,15.5,46.5,0.57,"",NaN,0,,"",NaN,15.5,46.5,0.69,150.96875,155.125,4.15625,0.9610468829,"0.006791512941",NaN,15.5,46.5,0.69,150.90625,155.1875,4.28125,0.962120406,"0.006225732096",NaN,15.5,46.5,0.69,150.96875,155.125,4.15625,0.9544416714,"0.007127678213",NaN,15.5,46.5,0.69,151.0625,155.0625,4,0.9428090416,"0.008258138609",NaN,15.5,46.5,0.69,"",NaN,0,,"",NaN,15.5,46.5,0.69,"",NaN,0,,""
16,48,0.54,"",NaN,0,,"",NaN,16,48,0.54,"",NaN,0,,"",NaN,16,48,0.66,151.125,154.96875,3.84375,0.9242113755,"0.01054041562",NaN,16,48,0.66,151.03125,155.0625,4.03125,0.933606781,"0.009356093654",NaN,16,48,0.66,151.09375,155,3.90625,0.9252915127,"0.009870782475",NaN,16,48,0.66,151.15625,154.9375,3.78125,0.9166666667,"0.010575852",NaN,16,48,0.66,"",NaN,0,,"",NaN,16,48,0.66,"",NaN,0,,""
16.5,49.5,0.51,"",NaN,0,,"",NaN,16.5,49.5,0.51,"",NaN,0,,"",NaN,16.5,49.5,0.63,151.3125,154.8125,3.5,0.8819171037,"0.0145032252",NaN,16.5,49.5,0.63,151.1875,154.90625,3.71875,0.8966906122,"0.01254141175",NaN,16.5,49.5,0.63,151.21875,154.875,3.65625,0.8951926402,"0.01253793621",NaN,16.5,49.5,0.63,151.28125,154.84375,3.5625,0.889756521,"0.01255072202",NaN,16.5,49.5,0.63,"",NaN,0,,"",NaN,16.5,49.5,0.63,"",NaN,0,,""
17,51,0.48,"",NaN,0,,"",NaN,17,51,0.48,"",NaN,0,,"",NaN,17,51,0.6,151.53125,154.5625,3.03125,0.8207381501,"0.0176197853",NaN,17,51,0.6,151.34375,154.71875,3.375,0.8542421962,"0.01573410496",NaN,17,51,0.6,151.375,154.71875,3.34375,0.8560821878,"0.01477684447",NaN,17,51,0.6,151.375,154.71875,3.34375,0.8620067027,"0.01433647469",NaN,17,51,0.6,"",NaN,0,,"",NaN,17,51,0.6,"",NaN,0,,""
17.5,52.5,0.45,"",NaN,0,,"",NaN,17.5,52.5,0.45,"",NaN,0,,"",NaN,17.5,52.5,0.57,151.6875,154.40625,2.71875,0.7772815878,"0.01952219636",NaN,17.5,52.5,0.57,151.5,154.4375,2.9375,0.7969536593,"0.01791533585",NaN,17.5,52.5,0.57,151.5,154.59375,3.09375,0.823457462,"0.01652137301",NaN,17.5,52.5,0.57,151.5,154.59375,3.09375,0.8291561976,"0.01590588423",NaN,17.5,52.5,0.57,"",NaN,0,,"",NaN,17.5,52.5,0.57,"",NaN,0,,""
18,54,0.42,"",NaN,0,,"",NaN,18,54,0.42,"",NaN,0,,"",NaN,18,54,0.54,151.875,154.21875,2.34375,0.7216878365,"0.02064471768",NaN,18,54,0.54,151.6875,154.375,2.6875,0.7622867447,"0.01878453182",NaN,18,54,0.54,151.65625,154.4375,2.78125,0.7807618338,"0.01784668466",NaN,18,54,0.54,151.625,154.46875,2.84375,0.7949493345,"0.01708313901",NaN,18,54,0.54,"",NaN,0,,"",NaN,18,54,0.54,"",NaN,0,,""
18.5,55.5,0.39,"",NaN,0,,"",NaN,18.5,55.5,0.39,"",NaN,0,,"",NaN,18.5,55.5,0.51,152,154.09375,2.09375,0.682112731,"0.02055317723",NaN,18.5,55.5,0.51,151.8125,154.25,2.4375,0.7259662713,"0.01927767968",NaN,18.5,55.5,0.51,151.78125,154.3125,2.53125,0.7448452997,"0.01841284078",NaN,18.5,55.5,0.51,151.75,154.34375,2.59375,0.7592027983,"0.01777642016",NaN,18.5,55.5,0.51,"",NaN,0,,"",NaN,18.5,55.5,0.51,"",NaN,0,,""
19,57,0.36,"",NaN,0,,"",NaN,19,57,0.36,"",NaN,0,,"",NaN,19,57,0.48,152.0625,154.03125,1.96875,0.6614378278,"0.01969924231",NaN,19,57,0.48,151.9375,154.125,2.1875,0.6877303054,"0.01905140048",NaN,19,57,0.48,151.875,154.1875,2.3125,0.7119335047,"0.01846869635",NaN,19,57,0.48,151.875,154.25,2.375,0.7264831573,"0.01794252397",NaN,19,57,0.48,"",NaN,0,,"",NaN,19,57,0.48,"",NaN,0,,""
19.5,58.5,0.33,"",NaN,0,,"",NaN,19.5,58.5,0.33,"",NaN,0,,"",NaN,19.5,58.5,0.45,152.0625,154,1.9375,0.6561673228,"0.01849916506",NaN,19.5,58.5,0.45,151.96875,154.0625,2.09375,0.6728318532,"0.01818400922",NaN,19.5,58.5,0.45,152,154.125,2.125,0.682461299,"0.01811255965",NaN,19.5,58.5,0.45,151.9375,154.125,2.1875,0.6972166888,"0.01760914714",NaN,19.5,58.5,0.45,"",NaN,0,,"",NaN,19.5,58.5,0.45,"",NaN,0,,""
20,60,0.3,"",NaN,0,,"",NaN,20,60,0.3,"",NaN,0,,"",NaN,20,60,0.42,152.0625,154,1.9375,0.6561673228,"0.01722336058",NaN,20,60,0.42,152,154.03125,2.03125,0.6627135046,"0.01706400304",NaN,20,60,0.42,152.03125,154,1.96875,0.6568918094,"0.01720604596",NaN,20,60,0.42,152,154.0625,2.0625,0.6770032004,"0.01694857193",NaN,20,60,0.42,"",NaN,0,,"",NaN,20,60,0.42,"",NaN,0,,""
20.5,61.5,0.27,"",NaN,0,,"",NaN,20.5,61.5,0.27,"",NaN,0,,"",NaN,20.5,61.5,0.39,152.0625,154,1.9375,0.6561673228,"0.01594755609",NaN,20.5,61.5,0.39,152,154.03125,2.03125,0.6627135046,"0.0158556196",NaN,20.5,61.5,0.39,152.03125,154,1.96875,0.6568918094,"0.01593152404",NaN,20.5,61.5,0.39,152.0625,154,1.9375,0.6561673228,"0.01594755609",NaN,20.5,61.5,0.39,"",NaN,0,,"",NaN,20.5,61.5,0.39,"",NaN,0,,""
21,63,0.24,"",NaN,0,,"",NaN,21,63,0.24,"",NaN,0,,"",NaN,21,63,0.36,152.0625,154,1.9375,0.6561673228,"0.01461968913",NaN,21,63,0.36,152.03125,154.03125,2,0.6575959492,"0.01464260144",NaN,21,63,0.36,152.03125,154,1.96875,0.6568918094,"0.01465700211",NaN,21,63,0.36,152.0625,154,1.9375,0.6561673228,"0.01445584624",NaN,21,63,0.36,"",NaN,0,,"",NaN,21,63,0.36,"",NaN,0,,""
21.5,64.5,0.21,"",NaN,0,,"",NaN,21.5,64.5,0.21,"",NaN,0,,"",NaN,21.5,64.5,0.33,152.0625,154.03125,1.96875,0.6614378278,"0.01314760703",NaN,21.5,64.5,0.33,152.03125,154.03125,2,0.6575959492,"0.01332298442",NaN,21.5,64.5,0.33,152.03125,154,1.96875,0.6568918094,"0.01323857649",NaN,21.5,64.5,0.33,152,154.0625,2.0625,0.6770032004,"0.01298376415",NaN,21.5,64.5,0.33,"",NaN,0,,"",NaN,21.5,64.5,0.33,"",NaN,0,,""
22,66,0.18,"",NaN,0,,"",NaN,22,66,0.18,"",NaN,0,,"",NaN,22,66,0.3,152,154.0625,2.0625,0.6770032004,"0.01145297048",NaN,22,66,0.3,152,154.03125,2.03125,0.6627135046,"0.01200800214",NaN,22,66,0.3,152,154.0625,2.0625,0.6723502023,"0.01183454123",NaN,22,66,0.3,152,154.0625,2.0625,0.6770032004,"0.01150429207",NaN,22,66,0.3,"",NaN,0,,"",NaN,22,66,0.3,"",NaN,0,,""
22.5,67.5,0.15,"",NaN,0,,"",NaN,22.5,67.5,0.15,"",NaN,0,,"",NaN,22.5,67.5,0.27,151.9375,154.1875,2.25,0.7071067812,"0.009511375735",NaN,22.5,67.5,0.27,152,154.03125,2.03125,0.6627135046,"0.01062752556",NaN,22.5,67.5,0.27,152,154.0625,2.0625,0.6723502023,"0.01019824523",NaN,22.5,67.5,0.27,151.9375,154.15625,2.21875,0.7021791478,"0.01005181146",NaN,22.5,67.5,0.27,"",NaN,0,,"",NaN,22.5,67.5,0.27,"",NaN,0,,""
23,69,0.12,"",NaN,0,,"",NaN,23,69,0.12,"",NaN,0,,"",NaN,23,69,0.24,151.78125,154.3125,2.53125,0.75,"0.007467348363",NaN,23,69,0.24,151.96875,154.09375,2.125,0.6778343894,"0.009115630715",NaN,23,69,0.24,151.9375,154.28125,2.34375,0.7167277239,"0.00852754042",NaN,23,69,0.24,151.9375,154.15625,2.21875,0.7021791478,"0.008663047786",NaN,23,69,0.24,"",NaN,0,,"",NaN,23,69,0.24,"",NaN,0,,""
23.5,70.5,0.09,"",NaN,0,,"",NaN,23.5,70.5,0.09,"",NaN,0,,"",NaN,23.5,70.5,0.21,151.625,154.46875,2.84375,0.7949493345,"0.005439454088",NaN,23.5,70.5,0.21,151.90625,154.15625,2.25,0.6974858325,"0.007478674158",NaN,23.5,70.5,0.21,151.84375,154.25,2.40625,0.7262212199,"0.007002722941",NaN,23.5,70.5,0.21,151.875,154.25,2.375,0.7264831573,"0.007034148478",NaN,23.5,70.5,0.21,"",NaN,0,,"",NaN,23.5,70.5,0.21,"",NaN,0,,""
24,72,0.06,"",NaN,0,,"",NaN,24,72,0.06,"",NaN,0,,"",NaN,24,72,0.18,151.4375,154.65625,3.21875,0.8457409638,"0.003556842684",NaN,24,72,0.18,151.78125,154.28125,2.5,0.7352146221,"0.005729986834",NaN,24,72,0.18,151.71875,154.375,2.65625,0.7630149283,"0.005381488923",NaN,24,72,0.18,151.75,154.34375,2.59375,0.7592027983,"0.005477957521",NaN,24,72,0.18,"",NaN,0,,"",NaN,24,72,0.18,"",NaN,0,,""
24.5,73.5,0.03,"",NaN,0,,"",NaN,24.5,73.5,0.03,"",NaN,0,,"",NaN,24.5,73.5,0.15,151.25,154.84375,3.59375,0.8936504412,"0.001953409436",NaN,24.5,73.5,0.15,151.625,154.4375,2.8125,0.7798128674,"0.0040822507",NaN,24.5,73.5,0.15,151.59375,154.46875,2.875,0.7938116819,"0.003834476489",NaN,24.5,73.5,0.15,151.65625,154.4375,2.78125,0.7861650943,"0.003978686465",NaN,24.5,73.5,0.15,"",NaN,0,,"",NaN,24.5,73.5,0.15,"",NaN,0,,""
25,75,0,"",NaN,0,,"0",NaN,25,75,0,"",NaN,0,,"0",NaN,25,75,0.12,151.0625,155.0625,4,0.9428090416,"0.0008706179745",NaN,25,75,0.12,151.46875,154.59375,3.125,0.8219949365,"0.002638994156",NaN,25,75,0.12,151.4375,154.65625,3.21875,0.8399282422,"0.002442881342",NaN,25,75,0.12,151.5,154.59375,3.09375,0.8291561976,"0.002635730555",NaN,25,75,0.12,"",NaN,0,,"",NaN,25,75,0.12,"",NaN,0,,""
25.5,76.5,-0.03,"",NaN,0,,"",NaN,25.5,76.5,-0.03,"",NaN,0,,"",NaN,25.5,76.5,0.09,150.9375,155.15625,4.21875,0.9682458366,"0.0003387821061",NaN,25.5,76.5,0.09,151.3125,154.78125,3.46875,0.8660254038,"0.001422397427",NaN,25.5,76.5,0.09,151.3125,154.8125,3.5,0.8758557459,"0.001348641991",NaN,25.5,76.5,0.09,151.40625,154.71875,3.3125,0.8579691784,"0.001571071455",NaN,25.5,76.5,0.09,"",NaN,0,,"",NaN,25.5,76.5,0.09,"",NaN,0,,""
26,78,-0.06,"",NaN,0,,"",NaN,26,78,-0.06,"",NaN,0,,"",NaN,26,78,0.06,150.875,155.25,4.375,0.9860132972,"0",NaN,26,78,0.06,151.09375,154.96875,3.875,0.9153348228,"0.0005595592964",NaN,26,78,0.06,151.125,154.96875,3.84375,0.917859332,"0.0005676499988",NaN,26,78,0.06,151.25,154.84375,3.59375,0.8936504412,"0.0007444722291",NaN,26,78,0.06,"",NaN,0,,"",NaN,26,78,0.06,"",NaN,0,,""
26.5,79.5,-0.09,"",NaN,0,,"",NaN,26.5,79.5,-0.09,"",NaN,0,,"",NaN,26.5,79.5,0.03,NaN,NaN,0,,"",NaN,26.5,79.5,0.03,150.9375,155.15625,4.21875,0.95507181,"0.0001213241708",NaN,26.5,79.5,0.03,151,155.09375,4.09375,0.9472382351,"0.0001413093559",NaN,26.5,79.5,0.03,151.15625,154.96875,3.8125,0.9204467514,"0.0002070374787",NaN,26.5,79.5,0.03,"",NaN,0,,"",NaN,26.5,79.5,0.03,"",NaN,0,,""
27,81,-0.12,"",NaN,0,,"",NaN,27,81,-0.12,"",NaN,0,,"",NaN,27,81,0,150.84375,155.25,4.40625,0.9895285073,"0",NaN,27,81,0,150.84375,155.21875,4.375,0.9725975252,"0",NaN,27,81,0,150.90625,155.1875,4.28125,0.968687857,"0",NaN,27,81,0,151.125,155,3.875,0.9279607271,"0",NaN,27,81,0,"",NaN,0,,"0",NaN,27,81,0,"",NaN,0,,"0"
27.5,82.5,-0.15,"",NaN,0,,"",NaN,27.5,82.5,-0.15,"",NaN,0,,"",NaN,27.5,82.5,-0.03,150.84375,155.25,4.40625,0.9895285073,"0",NaN,27.5,82.5,-0.03,150.8125,155.25,4.4375,0.9795200148,"5.671988405e-05",NaN,27.5,82.5,-0.03,150.9375,155.1875,4.25,0.9651460249,"9.511252811e-05",NaN,27.5,82.5,-0.03,151.09375,154.96875,3.875,0.9279607271,"0.0001890128363",NaN,27.5,82.5,-0.03,"",NaN,0,,"",NaN,27.5,82.5,-0.03,"",NaN,0,,""
28,84,-0.18,"",NaN,0,,"",NaN,28,84,-0.18,"",NaN,0,,"",NaN,28,84,-0.06,150.96875,155.125,4.15625,0.9610468829,"0.0002409917161",NaN,28,84,-0.06,150.90625,155.1875,4.28125,0.962120406,"0.0002628099788",NaN,28,84,-0.06,151.03125,155.0625,4.03125,0.9399795976,"0.0004141485402",NaN,28,84,-0.06,151.1875,154.90625,3.71875,0.9090593429,"0.0006565032401",NaN,28,84,-0.06,"",NaN,0,,"",NaN,28,84,-0.06,"",NaN,0,,""
28.5,85.5,-0.21,"",NaN,0,,"",NaN,28.5,85.5,-0.21,"",NaN,0,,"",NaN,28.5,85.5,-0.09,151.1875,154.90625,3.71875,0.9090593429,"0.0009129299076",NaN,28.5,85.5,-0.09,151.0625,155,3.9375,0.9226870278,"0.0008111807152",NaN,28.5,85.5,-0.09,151.1875,154.90625,3.71875,0.9028114383,"0.00106329801",NaN,28.5,85.5,-0.09,151.3125,154.8125,3.5,0.8819171037,"0.001350831425",NaN,28.5,85.5,-0.09,"",NaN,0,,"",NaN,28.5,85.5,-0.09,"",NaN,0,,""
29,87,-0.24,"",NaN,0,,"",NaN,29,87,-0.24,"",NaN,0,,"",NaN,29,87,-0.12,151.5,154.59375,3.09375,0.8291561976,"0.002303329456",NaN,29,87,-0.12,151.3125,154.75,3.4375,0.8621155626,"0.001949504879",NaN,29,87,-0.12,151.40625,154.6875,3.28125,0.8480436794,"0.002201697567",NaN,29,87,-0.12,151.4375,154.65625,3.21875,0.8457409638,"0.002358844893",NaN,29,87,-0.12,"",NaN,0,,"",NaN,29,87,-0.12,"",NaN,0,,""
29.5,88.5,-0.27,"",NaN,0,,"",NaN,29.5,88.5,-0.27,"",NaN,0,,"",NaN,29.5,88.5,-0.15,151.75,154.34375,2.59375,0.7592027983,"0.004186564607",NaN,29.5,88.5,-0.15,151.5625,154.53125,2.96875,0.8011815599,"0.003596318887",NaN,29.5,88.5,-0.15,151.5625,154.53125,2.96875,0.8066504395,"0.003662345992",NaN,29.5,88.5,-0.15,151.5625,154.53125,2.96875,0.8122328621,"0.003631572248",NaN,29.5,88.5,-0.15,"",NaN,0,,"",NaN,29.5,88.5,-0.15,"",NaN,0,,""
30,90,-0.3,"",NaN,0,,"",NaN,30,90,-0.3,"",NaN,0,,"",NaN,30,90,-0.18,151.96875,154.125,2.15625,0.6922186552,"0.006198812592",NaN,30,90,-0.18,151.78125,154.28125,2.5,0.7352146221,"0.005554472616",NaN,30,90,-0.18,151.71875,154.375,2.65625,0.7630149283,"0.005272502851",NaN,30,90,-0.18,151.6875,154.4375,2.75,0.78173596,"0.005050650743",NaN,30,90,-0.18,"",NaN,0,,"",NaN,30,90,-0.18,"",NaN,0,,""
30.5,91.5,-0.33,"",NaN,0,,"",NaN,30.5,91.5,-0.33,"",NaN,0,,"",NaN,30.5,91.5,-0.21,152.0625,154.03125,1.96875,0.6614378278,"0.008046526873",NaN,30.5,91.5,-0.21,151.875,154.15625,2.28125,0.7023127816,"0.007440479341",NaN,30.5,91.5,-0.21,151.8125,154.28125,2.46875,0.7355922039,"0.006917070022",NaN,30.5,91.5,-0.21,151.71875,154.40625,2.6875,0.7728015413,"0.00636965417",NaN,30.5,91.5,-0.21,"",NaN,0,,"",NaN,30.5,91.5,-0.21,"",NaN,0,,""
31,93,-0.36,"",NaN,0,,"",NaN,31,93,-0.36,"",NaN,0,,"",NaN,31,93,-0.24,152.03125,154.0625,2.03125,0.6718548124,"0.009419006742",NaN,31,93,-0.24,151.875,154.15625,2.28125,0.7023127816,"0.0088669529",NaN,31,93,-0.24,151.8125,154.28125,2.46875,0.7355922039,"0.008248880559",NaN,31,93,-0.24,151.6875,154.40625,2.71875,0.7772815878,"0.007390839066",NaN,31,93,-0.24,"",NaN,0,,"",NaN,31,93,-0.24,"",NaN,0,,""
