Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,TopSideDownstream_ButTheWindJustBroughtItBackAndMadeItTiltAnoth,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSide,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_1,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_2,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
-0.5,-1.5,1.53,"",NaN,0,,"",NaN,-0.5,-1.5,1.53,"",NaN,0,,"",NaN,-0.5,-1.5,1.65,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.65,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.65,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.65,NaN,NaN,0,,"",NaN,-0.5,-1.5,1.65,"",NaN,0,,"",NaN,-0.5,-1.5,1.65,"",NaN,0,,""
0,0,1.5,"",NaN,0,,"",NaN,0,0,1.5,"",NaN,0,,"",NaN,0,0,1.62,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,0,0,1.62,150.75,155.3125,4.5625,0.9932202608,"0",NaN,0,0,1.62,150.8125,155.3125,4.5,0.9931270663,"0",NaN,0,0,1.62,150.8125,155.3125,4.5,1,"0",NaN,0,0,1.62,"",NaN,0,,"",NaN,0,0,1.62,"",NaN,0,,""
0.5,1.5,1.47,"",NaN,0,,"",NaN,0.5,1.5,1.47,"",NaN,0,,"",NaN,0.5,1.5,1.59,NaN,NaN,0,,"",NaN,0.5,1.5,1.59,NaN,NaN,0,,"",NaN,0.5,1.5,1.59,NaN,NaN,0,,"",NaN,0.5,1.5,1.59,NaN,NaN,0,,"",NaN,0.5,1.5,1.59,"",NaN,0,,"",NaN,0.5,1.5,1.59,"",NaN,0,,""
1,3,1.44,"",NaN,0,,"",NaN,1,3,1.44,"",NaN,0,,"",NaN,1,3,1.56,NaN,NaN,0,,"",NaN,1,3,1.56,NaN,NaN,0,,"",NaN,1,3,1.56,NaN,NaN,0,,"",NaN,1,3,1.56,NaN,NaN,0,,"",NaN,1,3,1.56,"",NaN,0,,"",NaN,1,3,1.56,"",NaN,0,,""
1.5,4.5,1.41,"",NaN,0,,"",NaN,1.5,4.5,1.41,"",NaN,0,,"",NaN,1.5,4.5,1.53,NaN,NaN,0,,"",NaN,1.5,4.5,1.53,NaN,NaN,0,,"",NaN,1.5,4.5,1.53,NaN,NaN,0,,"",NaN,1.5,4.5,1.53,NaN,NaN,0,,"",NaN,1.5,4.5,1.53,"",NaN,0,,"",NaN,1.5,4.5,1.53,"",NaN,0,,""
2,6,1.38,"",NaN,0,,"",NaN,2,6,1.38,"",NaN,0,,"",NaN,2,6,1.5,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,2,6,1.5,150.75,155.3125,4.5625,0.9932202608,"0",NaN,2,6,1.5,150.8125,155.3125,4.5,0.9931270663,"0",NaN,2,6,1.5,150.8125,155.3125,4.5,1,"0",NaN,2,6,1.5,"",NaN,0,,"",NaN,2,6,1.5,"",NaN,0,,""
2.5,7.5,1.35,"",NaN,0,,"",NaN,2.5,7.5,1.35,"",NaN,0,,"",NaN,2.5,7.5,1.47,NaN,NaN,0,,"",NaN,2.5,7.5,1.47,NaN,NaN,0,,"",NaN,2.5,7.5,1.47,NaN,NaN,0,,"",NaN,2.5,7.5,1.47,NaN,NaN,0,,"",NaN,2.5,7.5,1.47,"",NaN,0,,"",NaN,2.5,7.5,1.47,"",NaN,0,,""
3,9,1.32,"",NaN,0,,"",NaN,3,9,1.32,"",NaN,0,,"",NaN,3,9,1.44,NaN,NaN,0,,"",NaN,3,9,1.44,NaN,NaN,0,,"",NaN,3,9,1.44,NaN,NaN,0,,"",NaN,3,9,1.44,NaN,NaN,0,,"",NaN,3,9,1.44,"",NaN,0,,"",NaN,3,9,1.44,"",NaN,0,,""
3.5,10.5,1.29,"",NaN,0,,"",NaN,3.5,10.5,1.29,"",NaN,0,,"",NaN,3.5,10.5,1.41,NaN,NaN,0,,"",NaN,3.5,10.5,1.41,NaN,NaN,0,,"",NaN,3.5,10.5,1.41,NaN,NaN,0,,"",NaN,3.5,10.5,1.41,NaN,NaN,0,,"",NaN,3.5,10.5,1.41,"",NaN,0,,"",NaN,3.5,10.5,1.41,"",NaN,0,,""
4,12,1.26,"",NaN,0,,"",NaN,4,12,1.26,"",NaN,0,,"",NaN,4,12,1.38,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,4,12,1.38,150.75,155.3125,4.5625,0.9932202608,"0",NaN,4,12,1.38,150.8125,155.3125,4.5,0.9931270663,"0",NaN,4,12,1.38,150.8125,155.3125,4.5,1,"0",NaN,4,12,1.38,"",NaN,0,,"",NaN,4,12,1.38,"",NaN,0,,""
