Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17
x,154.34375,154.4375,154.5,154.59375,154.5625,154.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
y,149.6875,149.5625,149.53125,149.46875,149.46875,149.46875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.65625,4.875,4.96875,5.125,5.09375,5.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,0.9462287447,0.9614669025,0.9644856443,0.9824033179,0.9794398019,0.9824033179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.4375,154.5,154.53125,154.625,154.59375,154.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.625,149.53125,149.53125,149.4375,149.4375,149.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.8125,4.96875,5,5.1875,5.15625,5.1875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.9674949672,0.9794398019,0.9644856443,0.9883036912,0.9794398019,0.9794398019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.53125,154.59375,154.5,154.65625,154.59375,154.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.5,149.4375,149.5,149.40625,149.4375,149.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.03125,5.15625,5,5.25,5.15625,5.15625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,0.9794398019,0.985357921,0.9794398019,0.9883036912,0.9824033179,0.9794398019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.59375,154.625,154.59375,154.65625,154.625,154.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.4375,149.40625,149.4375,149.40625,149.4375,149.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.15625,5.21875,5.15625,5.25,5.1875,5.15625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,0.9970887857,0.9941690465,0.985357921,0.9941690465,0.985357921,0.9794398019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.6875,154.6875,154.625,154.6875,154.625,154.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.34375,149.375,149.40625,149.375,149.40625,149.46875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.34375,5.3125,5.21875,5.3125,5.21875,5.15625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1,0.9941690465,0.9883036912,0.9941690465,0.9883036912,0.9883036912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.71875,154.6875,154.65625,154.6875,154.65625,154.65625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.34375,149.375,149.40625,149.375,149.40625,149.40625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.375,5.3125,5.25,5.3125,5.25,5.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1,0.9970887857,0.9912407072,0.9941690465,0.9912407072,0.9883036912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.71875,154.6875,154.65625,154.6875,154.65625,154.65625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.34375,149.34375,149.375,149.375,149.375,149.40625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.375,5.34375,5.28125,5.3125,5.28125,5.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1,0.9970887857,0.9970887857,0.9970887857,0.9912407072,0.9883036912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.71875,154.6875,154.6875,154.6875,154.65625,154.65625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.34375,149.34375,149.34375,149.34375,149.375,149.40625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.375,5.34375,5.34375,5.34375,5.28125,5.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1,0.9970887857,0.9941690465,0.9970887857,0.9912407072,0.9912407072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.71875,154.6875,154.6875,154.6875,154.65625,154.65625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.34375,149.34375,149.375,149.34375,149.375,149.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.375,5.34375,5.3125,5.34375,5.28125,5.28125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1,1,0.9941690465,1,0.9941690465,0.9941690465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,154.71875,154.6875,154.6875,154.71875,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,149.34375,149.3125,149.375,149.34375,149.375,149.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,5.375,5.375,5.3125,5.375,5.3125,5.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,0,1,0.9970887857,1,0.9941690465,0.9941690465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,154.6875,154.6875,154.71875,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,149.3125,149.34375,149.34375,149.375,149.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,5.375,5.34375,5.375,5.3125,5.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,0,1,0.9970887857,1,0.9970887857,0.9941690465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,154.6875,154.6875,154.71875,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,149.3125,149.34375,149.34375,149.34375,149.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,5.375,5.34375,5.375,5.34375,5.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,0,1,0.9970887857,1,0.9970887857,0.9941690465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,154.6875,154.6875,154.71875,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,149.3125,149.34375,149.34375,149.34375,149.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,5.375,5.34375,5.375,5.34375,5.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,0,1,0.9970887857,1,0.9970887857,0.9883036912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,154.6875,154.6875,154.71875,154.6875,154.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,149.3125,149.34375,149.34375,149.34375,149.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,5.375,5.34375,5.375,5.34375,5.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,0,0,0.9970887857,0,0.9970887857,0.988372093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.6875,NaN,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,149.34375,NaN,149.34375,149.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,5.34375,0,5.34375,5.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,0,0,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.71875,NaN,154.71875,154.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,149.34375,NaN,149.34375,149.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,5.375,0,5.375,5.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,0,0,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.71875,NaN,154.71875,154.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,149.34375,NaN,149.34375,149.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,5.375,0,5.375,5.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0,0,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.71875,NaN,154.71875,154.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,149.34375,NaN,149.34375,149.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,5.375,0,5.375,5.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.71875,NaN,154.71875,154.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,149.34375,NaN,149.34375,149.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,NaN,NaN,5.375,NaN,5.375,5.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.71875,NaN,154.71875,154.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,149.34375,NaN,149.34375,149.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,NaN,NaN,5.375,NaN,5.375,5.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,NaN,NaN,1,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,149.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
