Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80
20,2,0.3556,152.53125,151.4375,-1.09375,-0.512989176,-0.04090107067,NaN,5,0.5,1.1176,149.9375,154.0625,4.125,0.9962335083,0.0006540544729,NaN,5,0.5,1.1176,149.75,154.21875,4.46875,0.9965217286,0.0006041795156,NaN,5,0.5,1.27,149.75,154.25,4.5,1,0,NaN,5,0.5,1.27,149.75,154.25,4.5,1,0,NaN,5,0.5,1.27,149.78125,154.25,4.46875,0.9965217286,0.0006884836341,NaN,5,0.5,1.27,149.75,154.25,4.5,1,0,NaN,5,0.5,1.27,149.78125,154.21875,4.4375,0.993031274,0.001374547328,NaN,5,0.5,1.27,149.78125,154.21875,4.4375,0.993031274,0.001374547328
21,2.1,0.3048,152.6875,151.25,-1.4375,-0.5881025945,-0.04164584107,NaN,6,0.6,1.0668,149.9375,154.0625,4.125,0.9962335083,0.0006236333347,NaN,6,0.6,1.0668,149.75,154.21875,4.46875,0.9965217286,0.0005760781428,NaN,6,0.6,1.2192,149.75,154.25,4.5,1,0,NaN,6,0.6,1.2192,149.75,154.25,4.5,1,0,NaN,6,0.6,1.2192,149.78125,154.25,4.46875,0.9965217286,0.0006603822613,NaN,6,0.6,1.2192,149.75,154.25,4.5,1,0,NaN,6,0.6,1.2192,149.78125,154.21875,4.4375,0.993031274,0.001318443355,NaN,6,0.6,1.2192,149.78125,154.21875,4.4375,0.993031274,0.001318443355
22,2.2,0.254,152.75,151.21875,-1.53125,-0.6069769787,-0.03558538638,NaN,7,0.7,1.016,149.9375,154.0625,4.125,0.9962335083,0.0005932121964,NaN,7,0.7,1.016,149.75,154.21875,4.46875,0.9965217286,0.00054797677,NaN,7,0.7,1.1684,149.75,154.25,4.5,1,0,NaN,7,0.7,1.1684,149.75,154.25,4.5,1,0,NaN,7,0.7,1.1684,149.78125,154.25,4.46875,0.9965217286,0.0006322808885,NaN,7,0.7,1.1684,149.78125,154.25,4.46875,0.9965217286,0.0006322808885,NaN,7,0.7,1.1684,149.78125,154.21875,4.4375,0.993031274,0.001262339382,NaN,7,0.7,1.1684,149.78125,154.21875,4.4375,0.993031274,0.001262339382
23,2.3,0.2032,152.75,151.21875,-1.53125,-0.6069769787,-0.02767752274,NaN,8,0.8,0.9652,149.9375,154.0625,4.125,0.9962335083,0.0005627910581,NaN,8,0.8,0.9652,149.75,154.21875,4.46875,0.9965217286,0.0005198753972,NaN,8,0.8,1.1176,149.75,154.25,4.5,1,0,NaN,8,0.8,1.1176,149.75,154.25,4.5,1,0,NaN,8,0.8,1.1176,149.78125,154.21875,4.4375,0.993031274,0.00120623541,NaN,8,0.8,1.1176,149.78125,154.21875,4.4375,0.993031274,0.00120623541,NaN,8,0.8,1.1176,149.78125,154.21875,4.4375,0.993031274,0.00120623541,NaN,8,0.8,1.1176,149.78125,154.21875,4.4375,0.993031274,0.00120623541
24,2.4,0.1524,152.75,151.21875,-1.53125,-0.6069769787,-0.0197696591,NaN,9,0.9,0.9144,149.9375,154.0625,4.125,0.9962335083,0.0005323699198,NaN,9,0.9,0.9144,149.75,154.21875,4.46875,0.9965217286,0.0004917740244,NaN,9,0.9,1.0668,149.75,154.25,4.5,1,0,NaN,9,0.9,1.0668,149.75,154.25,4.5,1,0,NaN,9,0.9,1.0668,149.78125,154.21875,4.4375,0.993031274,0.001150131437,NaN,9,0.9,1.0668,149.78125,154.21875,4.4375,0.993031274,0.001150131437,NaN,9,0.9,1.0668,149.78125,154.21875,4.4375,0.993031274,0.001150131437,NaN,9,0.9,1.0668,149.78125,154.1875,4.40625,0.9895285073,0.001722138456
25,2.5,0.1016,152.78125,151.21875,-1.5625,-0.6131393395,-0.01202817174,NaN,10,1,0.8636,149.9375,154.0625,4.125,0.9962335083,0.0005019487816,NaN,10,1,0.8636,149.78125,154.21875,4.4375,0.993031274,0.0009257155471,NaN,10,1,1.016,149.75,154.21875,4.46875,0.9965217286,0.00054797677,NaN,10,1,1.016,149.78125,154.25,4.46875,0.9965217286,0.00054797677,NaN,10,1,1.016,149.78125,154.21875,4.4375,0.993031274,0.001094027465,NaN,10,1,1.016,149.78125,154.21875,4.4375,0.993031274,0.001094027465,NaN,10,1,1.016,149.78125,154.1875,4.40625,0.9895285073,0.001638131702,NaN,10,1,1.016,149.8125,154.1875,4.375,0.9860132972,0.002180268738
26,2.6,0.0508,152.78125,151.1875,-1.59375,-0.6192403787,-0.004064600763,NaN,11,1.1,0.8128,149.9375,154.03125,4.09375,0.9924527223,0.0009412590229,NaN,11,1.1,0.8128,149.78125,154.21875,4.4375,0.993031274,0.0008696115746,NaN,11,1.1,0.9652,149.75,154.21875,4.46875,0.9965217286,0.0005198753972,NaN,11,1.1,0.9652,149.78125,154.21875,4.4375,0.993031274,0.001037923492,NaN,11,1.1,0.9652,149.78125,154.21875,4.4375,0.993031274,0.001037923492,NaN,11,1.1,0.9652,149.78125,154.1875,4.40625,0.9895285073,0.001554124948,NaN,11,1.1,0.9652,149.8125,154.1875,4.375,0.9860132972,0.002068460085,NaN,11,1.1,0.9652,149.84375,154.15625,4.3125,0.9789450104,0.00309145091
27,2.7,0,152.78125,151.1875,-1.59375,-0.6192403787,0,NaN,12,1.2,0.762,149.9375,154.03125,4.09375,0.9924527223,0.0008805326344,NaN,12,1.2,0.762,149.78125,154.21875,4.4375,0.993031274,0.000813507602,NaN,12,1.2,0.9144,149.78125,154.21875,4.4375,0.993031274,0.0009818195197,NaN,12,1.2,0.9144,149.78125,154.21875,4.4375,0.993031274,0.0009818195197,NaN,12,1.2,0.9144,149.78125,154.21875,4.4375,0.993031274,0.0009818195197,NaN,12,1.2,0.9144,149.8125,154.15625,4.34375,0.9824855102,0.002441400282,NaN,12,1.2,0.9144,149.8125,154.15625,4.34375,0.9824855102,0.002441400282,NaN,12,1.2,0.9144,149.875,154.125,4.25,0.9718253158,0.003884745845
28,2.8,-0.0508,152.78125,151.1875,-1.59375,-0.6192403787,-0.004064600763,NaN,13,1.3,0.7112,149.9375,154.03125,4.09375,0.9924527223,0.0008198062458,NaN,13,1.3,0.7112,149.78125,154.21875,4.4375,0.993031274,0.0007574036294,NaN,13,1.3,0.8636,149.78125,154.21875,4.4375,0.993031274,0.0009257155471,NaN,13,1.3,0.8636,149.78125,154.21875,4.4375,0.993031274,0.0009257155471,NaN,13,1.3,0.8636,149.8125,154.1875,4.375,0.9860132972,0.001844842778,NaN,13,1.3,0.8636,149.84375,154.125,4.28125,0.9753916592,0.003210869178,NaN,13,1.3,0.8636,149.875,154.125,4.25,0.9718253158,0.003662760368,NaN,13,1.3,0.8636,149.90625,154.09375,4.1875,0.9646530752,0.004561251615
29,2.9,-0.1016,152.78125,151.1875,-1.59375,-0.6192403787,-0.01219380229,NaN,14,1.4,0.6604,150,154,4,0.9810229432,0.001886667345,NaN,14,1.4,0.6604,149.78125,154.21875,4.4375,0.993031274,0.0007012996569,NaN,14,1.4,0.8128,149.78125,154.21875,4.4375,0.993031274,0.0008696115746,NaN,14,1.4,0.8128,149.8125,154.1875,4.375,0.9860132972,0.001733034125,NaN,14,1.4,0.8128,149.84375,154.1875,4.34375,0.9824855102,0.002162383107,NaN,14,1.4,0.8128,149.90625,154.0625,4.15625,0.9610468829,0.004704308415,NaN,14,1.4,0.8128,149.90625,154.09375,4.1875,0.9646530752,0.004284812123,NaN,14,1.4,0.8128,149.9375,154.0625,4.125,0.9574271078,0.005122097847
