Time,Voltage,Time
12:11:23.662,2.35,23.662
12:11:23.696,2.35,23.696
12:11:23.772,2.35,23.772
12:11:23.805,2.35,23.805
12:11:23.839,2.35,23.839
12:11:23.909,2.35,23.909
12:11:23.944,2.35,23.944
12:11:24.020,2.35,24.02
12:11:24.058,2.34,24.058
12:11:24.091,2.35,24.091
12:11:24.161,2.34,24.161
12:11:24.195,2.34,24.195
12:11:24.266,2.33,24.266
12:11:24.299,2.34,24.299
12:11:24.367,2.34,24.367
12:11:24.404,2.33,24.404
12:11:24.438,2.33,24.438
12:11:24.510,2.33,24.51
12:11:24.544,2.32,24.544
12:11:24.611,2.33,24.611
12:11:24.644,2.34,24.644
12:11:24.712,2.34,24.712
12:11:24.747,2.35,24.747
12:11:24.818,2.35,24.818
12:11:24.854,2.36,24.854
12:11:24.889,2.36,24.889
12:11:24.958,2.35,24.958
12:11:24.993,2.35,24.993
12:11:25.063,2.35,25.063
12:11:25.097,2.35,25.097
12:11:25.168,2.35,25.168
12:11:25.202,2.35,25.202
12:11:25.241,2.36,25.241
12:11:25.312,2.36,25.312
12:11:25.346,2.36,25.346
12:11:25.418,2.36,25.418
12:11:25.453,2.36,25.453
12:11:25.491,2.36,25.491
12:11:25.558,2.36,25.558
12:11:25.594,2.36,25.594
12:11:25.669,2.37,25.669
12:11:25.703,2.36,25.703
12:11:25.737,2.37,25.737
12:11:25.811,2.36,25.811
12:11:25.845,2.36,25.845
12:11:25.919,2.36,25.919
12:11:25.957,2.36,25.957
12:11:25.991,2.35,25.991
12:11:26.062,2.35,26.062
12:11:26.099,2.35,26.099
12:11:26.167,2.36,26.167
12:11:26.201,2.36,26.201
12:11:26.272,2.36,26.272
12:11:26.310,2.37,26.31
12:11:26.344,2.37,26.344
12:11:26.414,2.37,26.414
12:11:26.452,2.37,26.452
12:11:26.486,2.37,26.486
12:11:26.554,2.37,26.554
12:11:26.592,2.37,26.592
12:11:26.662,2.36,26.662
12:11:26.697,2.36,26.697
12:11:26.763,2.37,26.763
12:11:26.797,2.36,26.797
12:11:26.871,2.37,26.871
12:11:26.905,2.36,26.905
12:11:26.943,2.36,26.943
12:11:27.012,2.36,27.012
12:11:27.045,2.36,27.045
12:11:27.113,2.36,27.113
12:11:27.149,2.36,27.149
12:11:27.220,2.36,27.22
12:11:27.254,2.35,27.254
12:11:27.321,2.35,27.321
12:11:27.359,2.35,27.359
12:11:27.393,2.35,27.393
12:11:27.461,2.35,27.461
12:11:27.498,2.35,27.498
12:11:27.568,2.35,27.568
12:11:27.601,2.36,27.601
12:11:27.671,2.37,27.671
12:11:27.704,2.37,27.704
12:11:27.775,2.38,27.775
12:11:27.812,2.39,27.812
12:11:27.846,2.39,27.846
12:11:27.918,2.38,27.918
12:11:27.953,2.38,27.953
12:11:28.024,2.38,28.024
12:11:28.058,2.38,28.058
12:11:28.095,2.38,28.095
12:11:28.170,2.38,28.17
12:11:28.204,2.38,28.204
12:11:28.276,2.37,28.276
12:11:28.313,2.38,28.313
12:11:28.347,2.38,28.347
12:11:28.419,2.37,28.419
12:11:28.453,2.37,28.453
12:11:28.521,2.37,28.521
12:11:28.556,2.36,28.556
12:11:28.590,2.36,28.59
12:11:28.662,2.36,28.662
12:11:28.696,2.36,28.696
12:11:28.771,2.35,28.771
12:11:28.807,2.35,28.807
12:11:28.841,2.35,28.841
12:11:28.912,2.35,28.912
12:11:28.945,2.35,28.945
12:11:29.011,2.35,29.011
12:11:29.045,2.35,29.045
12:11:29.111,2.35,29.111
12:11:29.148,2.36,29.148
12:11:29.219,2.37,29.219
12:11:29.252,2.37,29.252
12:11:29.288,2.37,29.288
12:11:29.354,2.38,29.354
12:11:29.422,2.38,29.422
12:11:29.455,2.38,29.455
12:11:29.493,2.38,29.493
12:11:29.561,2.38,29.561
12:11:29.595,2.37,29.595
12:11:29.661,2.37,29.661
12:11:29.694,2.36,29.694
12:11:29.761,2.36,29.761
12:11:29.798,2.35,29.798
12:11:29.872,2.36,29.872
12:11:29.906,2.35,29.906
12:11:29.939,2.35,29.939
12:11:30.007,2.35,30.007
12:11:30.073,2.35,30.073
12:11:30.112,2.35,30.112
12:11:30.149,2.35,30.149
12:11:30.220,2.35,30.22
12:11:30.255,2.34,30.255
12:11:30.323,2.34,30.323
12:11:30.356,2.34,30.356
12:11:30.394,2.35,30.394
12:11:30.467,2.35,30.467
