Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A2,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,7.5,1.26,,,0,,,,2.5,7.5,1.38,,,0,,,,2.5,7.5,1.32,,,0,,,2.5,7.5,1.32,,,0,,,,2.5,7.5,1.32,,,0,,,,2.5,7.5,1.26,,,0,,,,2.5,7.5,1.35,,,0,,,,2.5,7.5,1.32,,,0,,,,2.5000,7.5,1.26,,,0,,,,-12.5,-37.5,2.25,,,0,0.0000
3,9,1.23,149.8125,154.1875,4.375,0.9860,0,,3,9,1.35,149.8125,154.1875,4.375,0.9964,0,,3,9,1.29,149.78125,154.25,4.46875,0.9965,,3,9,1.29,149.78125,154.25,4.46875,0.9965,0,,3,9,1.29,149.78125,154.21875,4.4375,0.9930,0,,3,9,1.23,149.78125,154.21875,4.4375,0.9930,0,,3,9,1.32,149.78125,154.25,4.46875,0.9965,0,,3,9,1.29,149.78125,154.21875,4.4375,0.9930,0,,3.0000,9,1.23,149.78125,154.21875,4.4375,0.9930,0,,-12,-36,2.22,149.75,154.25,4.5,1.0000
3.5,10.5,1.2,,,0,,,,3.5,10.5,1.32,,,0,,,,3.5,10.5,1.26,,,0,,,3.5,10.5,1.26,,,0,,,,3.5,10.5,1.26,,,0,,,,3.5,10.5,1.2,,,0,,,,3.5,10.5,1.29,,,0,,,,3.5,10.5,1.26,,,0,,,,3.5000,10.5,1.2,,,0,,,,-11.5,-34.5,2.19,,,0,0.0000
4,12,1.17,149.8125,154.1875,4.375,0.9860,0,,4,12,1.29,149.8125,154.1875,4.375,0.9964,0,,4,12,1.23,149.78125,154.21875,4.4375,0.9930,,4,12,1.23,149.78125,154.25,4.46875,0.9965,0,,4,12,1.23,149.78125,154.21875,4.4375,0.9930,0,,4,12,1.17,149.78125,154.21875,4.4375,0.9930,0,,4,12,1.26,149.78125,154.25,4.46875,0.9965,0,,4,12,1.23,149.78125,154.21875,4.4375,0.9930,0,,4.0000,12,1.17,149.78125,154.21875,4.4375,0.9930,0,,-11,-33,2.16,149.75,154.25,4.5,1.0000
4.5,13.5,1.14,,,0,,,,4.5,13.5,1.26,,,0,,,,4.5,13.5,1.2,,,0,,,4.5,13.5,1.2,,,0,,,,4.5,13.5,1.2,,,0,,,,4.5,13.5,1.14,,,0,,,,4.5,13.5,1.23,,,0,,,,4.5,13.5,1.2,,,0,,,,4.5000,13.5,1.14,,,0,,,,-10.5,-31.5,2.13,,,0,0.0000
5,15,1.11,149.8125,154.1875,4.375,0.9860,0,,5,15,1.23,149.8125,154.1875,4.375,0.9964,0,,5,15,1.17,149.78125,154.21875,4.4375,0.9930,,5,15,1.17,149.78125,154.21875,4.4375,0.9930,0,,5,15,1.17,149.78125,154.21875,4.4375,0.9930,0,,5,15,1.11,149.78125,154.21875,4.4375,0.9930,0,,5,15,1.2,149.78125,154.25,4.46875,0.9965,0,,5,15,1.17,149.78125,154.21875,4.4375,0.9930,0,,5.0000,15,1.11,149.8125,154.1875,4.375,0.9860,0,,-10,-30,2.1,149.75,154.25,4.5,1.0000
5.5,16.5,1.08,,,0,,,,5.5,16.5,1.2,,,0,,,,5.5,16.5,1.14,,,0,,,5.5,16.5,1.14,,,0,,,,5.5,16.5,1.14,,,0,,,,5.5,16.5,1.08,,,0,,,,5.5,16.5,1.17,,,0,,,,5.5,16.5,1.14,,,0,,,,5.5000,16.5,1.08,,,0,,,,-9.5,-28.5,2.07,,,0,0.0000
6,18,1.05,149.8125,154.1875,4.375,0.9860,0,,6,18,1.17,149.84375,154.1875,4.34375,0.9929,0,,6,18,1.11,149.78125,154.21875,4.4375,0.9930,,6,18,1.11,149.78125,154.21875,4.4375,0.9930,0,,6,18,1.11,149.78125,154.21875,4.4375,0.9930,0,,6,18,1.05,149.78125,154.21875,4.4375,0.9930,0,,6,18,1.14,149.78125,154.21875,4.4375,0.9930,0,,6,18,1.11,149.78125,154.21875,4.4375,0.9930,0,,6.0000,18,1.05,149.8125,154.1875,4.375,0.9860,0,,-9,-27,2.04,149.75,154.25,4.5,1.0000
6.5,19.5,1.02,,,0,,,,6.5,19.5,1.14,,,0,,,,6.5,19.5,1.08,,,0,,,6.5,19.5,1.08,,,0,,,,6.5,19.5,1.08,,,0,,,,6.5,19.5,1.02,,,0,,,,6.5,19.5,1.11,,,0,,,,6.5,19.5,1.08,,,0,,,,6.5000,19.5,1.02,,,0,,,,-8.5,-25.5,2.01,,,0,0.0000
7,21,0.99,149.8125,154.1875,4.375,0.9860,0,,7,21,1.11,149.84375,154.1875,4.34375,0.9929,0,,7,21,1.05,149.78125,154.21875,4.4375,0.9930,,7,21,1.05,149.78125,154.21875,4.4375,0.9930,0,,7,21,1.05,149.78125,154.21875,4.4375,0.9930,0,,7,21,0.99,149.78125,154.21875,4.4375,0.9930,0,,7,21,1.08,149.78125,154.21875,4.4375,0.9930,0,,7,21,1.05,149.78125,154.21875,4.4375,0.9930,0,,7.0000,21,0.99,149.8125,154.1875,4.375,0.9860,0,,-8,-24,1.98,149.75,154.25,4.5,1.0000
